"ID","Date","Site","Collection","Mooring.Code","Sampling.Interval","SFLA_count","SFLA_settlement_rate","year","Site.Code","julian","depth_cat","temp_c","oxy_mgl","oxy_mll"
"2012_220_OR",2012-08-07,"OR",3,"OR05",8,0,0,2012,"OR",220,"mid",11.11486724,NA,NA
"2012_220_ORF",2012-08-07,"CF",1,"CF03",8,0,0,2012,"ORF",220,NA,NA,NA,NA
"2012_234_NA",2012-08-21,"OR",1,"OR06",14,0,0,2012,NA,234,NA,NA,NA,NA
"2012_234_OR",2012-08-21,"OR",3,"OR05",14,0,0,2012,"OR",234,"mid",10.44490259,NA,NA
"2012_234_OR",2012-08-21,"OR",2,"OR01",14,0,0,2012,"OR",234,"mid",10.44490259,NA,NA
"2012_234_ORF",2012-08-21,"CF",1,"CF03",14,0,0,2012,"ORF",234,NA,NA,NA,NA
"2012_250_NA",2012-09-06,"OR",1,"OR06",16,0,0,2012,NA,250,NA,NA,NA,NA
"2012_250_OR",2012-09-06,"OR",3,"OR05",16,0,0,2012,"OR",250,"mid",8.087144468,NA,NA
"2012_250_OR",2012-09-06,"OR",2,"OR01",16,0,0,2012,"OR",250,"mid",8.087144468,NA,NA
"2012_250_ORF",2012-09-06,"CF",1,"CF03",16,0,0,2012,"ORF",250,NA,NA,NA,NA
"2013_157_NA",2013-06-06,"OR",4,"OR06",16,0,0,2013,NA,157,NA,NA,NA,NA
"2013_157_OR",2013-06-06,"OR",1,"OR05",16,0,0,2013,"OR",157,NA,NA,NA,NA
"2013_157_OR",2013-06-06,"OR",2,"OR01",16,0,0,2013,"OR",157,NA,NA,NA,NA
"2013_157_OR",2013-06-06,"OR",3,"OR02",16,0,0,2013,"OR",157,NA,NA,NA,NA
"2013_157_ORF",2013-06-06,"CF",2,"CF04",16,0,0,2013,"ORF",157,NA,NA,NA,NA
"2013_157_ORF",2013-06-06,"CF",3,"CF06",16,0,0,2013,"ORF",157,NA,NA,NA,NA
"2013_157_ORF",2013-06-06,"CF",4,"CF03",16,0,0,2013,"ORF",157,NA,NA,NA,NA
"2013_169_NA",2013-06-18,"OR",1,"OR06",12,0,0,2013,NA,169,NA,NA,NA,NA
"2013_169_OR",2013-06-18,"OR",2,"OR02",12,0,0,2013,"OR",169,NA,NA,NA,NA
"2013_169_OR",2013-06-18,"OR",3,"OR01",12,0,0,2013,"OR",169,NA,NA,NA,NA
"2013_169_OR",2013-06-18,"OR",4,"OR05",12,0,0,2013,"OR",169,NA,NA,NA,NA
"2013_169_ORF",2013-06-18,"CF",1,"CF03",12,0,0,2013,"ORF",169,NA,NA,NA,NA
"2013_169_ORF",2013-06-18,"CF",2,"CF06",12,0,0,2013,"ORF",169,NA,NA,NA,NA
"2013_169_ORF",2013-06-18,"CF",3,"CF04",12,0,0,2013,"ORF",169,NA,NA,NA,NA
"2013_169_ORF",2013-06-18,"CF",4,"CF05",12,0,0,2013,"ORF",169,NA,NA,NA,NA
"2013_183_NA",2013-07-02,"OR",4,"OR06",15,0,0,2013,NA,183,NA,NA,NA,NA
"2013_183_OR",2013-07-02,"OR",1,"OR05",15,0,0,2013,"OR",183,NA,NA,NA,NA
"2013_183_OR",2013-07-02,"OR",2,"OR01",15,0,0,2013,"OR",183,NA,NA,NA,NA
"2013_183_OR",2013-07-02,"OR",3,"OR02",15,0,0,2013,"OR",183,NA,NA,NA,NA
"2013_183_ORF",2013-07-02,"CF",1,"CF05",15,0,0,2013,"ORF",183,NA,NA,NA,NA
"2013_183_ORF",2013-07-02,"CF",2,"CF04",15,0,0,2013,"ORF",183,NA,NA,NA,NA
"2013_183_ORF",2013-07-02,"CF",3,"CF03",15,0,0,2013,"ORF",183,NA,NA,NA,NA
"2013_183_ORF",2013-07-02,"CF",4,"CF06",15,0,0,2013,"ORF",183,NA,NA,NA,NA
"2013_198_NA",2013-07-17,"OR",1,"OR06",15,0,0,2013,NA,198,NA,NA,NA,NA
"2013_198_OR",2013-07-17,"OR",2,"OR02",15,0,0,2013,"OR",198,NA,NA,NA,NA
"2013_198_OR",2013-07-17,"OR",3,"OR01",15,0,0,2013,"OR",198,NA,NA,NA,NA
"2013_198_OR",2013-07-17,"OR",4,"OR05",15,0,0,2013,"OR",198,NA,NA,NA,NA
"2013_198_ORF",2013-07-17,"CF",1,"CF03",15,0,0,2013,"ORF",198,NA,NA,NA,NA
"2013_198_ORF",2013-07-17,"CF",2,"CF06",15,0,0,2013,"ORF",198,NA,NA,NA,NA
"2013_198_ORF",2013-07-17,"CF",3,"CF04",15,1,0.066666667,2013,"ORF",198,NA,NA,NA,NA
"2013_198_ORF",2013-07-17,"CF",4,"CF05",15,0,0,2013,"ORF",198,NA,NA,NA,NA
"2013_211_NA",2013-07-30,"OR",1,"OR06",13,0,0,2013,NA,211,NA,NA,NA,NA
"2013_211_OR",2013-07-30,"OR",2,"OR02",13,0,0,2013,"OR",211,NA,NA,NA,NA
"2013_211_OR",2013-07-30,"OR",3,"OR01",13,0,0,2013,"OR",211,NA,NA,NA,NA
"2013_211_OR",2013-07-30,"OR",4,"OR05",13,0,0,2013,"OR",211,NA,NA,NA,NA
"2013_211_ORF",2013-07-30,"CF",1,"CF03",13,0,0,2013,"ORF",211,NA,NA,NA,NA
"2013_211_ORF",2013-07-30,"CF",2,"CF06",13,0,0,2013,"ORF",211,NA,NA,NA,NA
"2013_211_ORF",2013-07-30,"CF",3,"CF04",13,0,0,2013,"ORF",211,NA,NA,NA,NA
"2013_211_ORF",2013-07-30,"CF",4,"CF05",13,0,0,2013,"ORF",211,NA,NA,NA,NA
"2013_226_NA",2013-08-14,"OR",1,"OR06",15,0,0,2013,NA,226,NA,NA,NA,NA
"2013_226_OR",2013-08-14,"OR",2,"OR02",15,0,0,2013,"OR",226,NA,NA,NA,NA
"2013_226_OR",2013-08-14,"OR",3,"OR01",15,0,0,2013,"OR",226,NA,NA,NA,NA
"2013_226_OR",2013-08-14,"OR",4,"OR05",15,0,0,2013,"OR",226,NA,NA,NA,NA
"2013_226_ORF",2013-08-14,"CF",1,"CF03",15,0,0,2013,"ORF",226,NA,NA,NA,NA
"2013_226_ORF",2013-08-14,"CF",2,"CF06",15,0,0,2013,"ORF",226,NA,NA,NA,NA
"2013_226_ORF",2013-08-14,"CF",3,"CF04",15,0,0,2013,"ORF",226,NA,NA,NA,NA
"2013_226_ORF",2013-08-14,"CF",4,"CF05",15,0,0,2013,"ORF",226,NA,NA,NA,NA
"2013_239_NA",2013-08-27,"OR",1,"OR06",13,0,0,2013,NA,239,NA,NA,NA,NA
"2013_239_OR",2013-08-27,"OR",2,"OR02",13,0,0,2013,"OR",239,NA,NA,NA,NA
"2013_239_OR",2013-08-27,"OR",3,"OR01",13,0,0,2013,"OR",239,NA,NA,NA,NA
"2013_239_OR",2013-08-27,"OR",4,"OR05",13,0,0,2013,"OR",239,NA,NA,NA,NA
"2013_239_ORF",2013-08-27,"CF",1,"CF03",13,0,0,2013,"ORF",239,NA,NA,NA,NA
"2013_239_ORF",2013-08-27,"CF",2,"CF04",13,0,0,2013,"ORF",239,NA,NA,NA,NA
"2013_239_ORF",2013-08-27,"CF",3,"CF05",13,0,0,2013,"ORF",239,NA,NA,NA,NA
"2013_254_NA",2013-09-11,"OR",4,"OR06",15,0,0,2013,NA,254,NA,NA,NA,NA
"2013_254_OR",2013-09-11,"OR",1,"OR05",15,0,0,2013,"OR",254,NA,NA,NA,NA
"2013_254_OR",2013-09-11,"OR",2,"OR01",15,0,0,2013,"OR",254,NA,NA,NA,NA
"2013_254_OR",2013-09-11,"OR",3,"OR02",15,0,0,2013,"OR",254,NA,NA,NA,NA
"2013_254_ORF",2013-09-11,"CF",1,"CF05",15,0,0,2013,"ORF",254,NA,NA,NA,NA
"2013_254_ORF",2013-09-11,"CF",2,"CF04",15,0,0,2013,"ORF",254,NA,NA,NA,NA
"2013_254_ORF",2013-09-11,"CF",3,"CF03",15,0,0,2013,"ORF",254,NA,NA,NA,NA
"2014_148_OR",2014-05-28,"OR",3,"OR05",14,2,0.142857143,2014,"OR",148,"mid",12.06525,NA,NA
"2014_148_OR",2014-05-28,"OR",1,"OR02",14,2,0.142857143,2014,"OR",148,"mid",12.06525,NA,NA
"2014_148_OR",2014-05-28,"OR",2,"OR01",14,0,0,2014,"OR",148,"mid",12.06525,NA,NA
"2014_148_OR",2014-05-28,"OR",4,"OR07",14,0,0,2014,"OR",148,"mid",12.06525,NA,NA
"2014_148_ORF",2014-05-28,"CF",2,"CF06",14,0,0,2014,"ORF",148,"mid",11.879875,NA,NA
"2014_148_ORF",2014-05-28,"CF",3,"CF04",14,1,0.071428571,2014,"ORF",148,"mid",11.879875,NA,NA
"2014_148_ORF",2014-05-28,"CF",4,"CF05",14,0,0,2014,"ORF",148,"mid",11.879875,NA,NA
"2014_148_ORF",2014-05-28,"CF",1,"CF03",14,1,0.071428571,2014,"ORF",148,"mid",11.879875,NA,NA
"2014_161_OR",2014-06-10,"OR",4,"OR02",16,0,0,2014,"OR",161,"mid",7.621291667,NA,NA
"2014_161_OR",2014-06-10,"OR",1,"OR07",16,0,0,2014,"OR",161,"mid",7.621291667,NA,NA
"2014_161_OR",2014-06-10,"OR",2,"OR05",16,0,0,2014,"OR",161,"mid",7.621291667,NA,NA
"2014_161_OR",2014-06-10,"OR",3,"OR01",16,1,0.0625,2014,"OR",161,"mid",7.621291667,NA,NA
"2014_161_ORF",2014-06-10,"CF",3,"CF06",16,1,0.0625,2014,"ORF",161,"mid",7.683791667,NA,NA
"2014_161_ORF",2014-06-10,"CF",1,"CF05",16,0,0,2014,"ORF",161,"mid",7.683791667,NA,NA
"2014_161_ORF",2014-06-10,"CF",2,"CF04",16,0,0,2014,"ORF",161,"mid",7.683791667,NA,NA
"2014_161_ORF",2014-06-10,"CF",4,"CF03",16,0,0,2014,"ORF",161,"mid",7.683791667,NA,NA
"2014_170_RR",2014-06-19,"RR",4,"RR04",16,22,1.359375,2014,"RR",170,NA,NA,NA,NA
"2014_170_RR",2014-06-19,"RR",3,"RR03",16,9,0.583333333,2014,"RR",170,NA,NA,NA,NA
"2014_170_RR",2014-06-19,"RR",1,"RR01",16,6,0.354166667,2014,"RR",170,NA,NA,NA,NA
"2014_170_RR",2014-06-19,"RR",2,"RR02",16,9,0.583333333,2014,"RR",170,NA,NA,NA,NA
"2014_170_RRH",2014-06-19,"HH",1,"HH01",16,0,0,2014,"RRH",170,NA,NA,NA,NA
"2014_170_RRH",2014-06-19,"HH",2,"HH02",16,6,0.375,2014,"RRH",170,NA,NA,NA,NA
"2014_170_RRH",2014-06-19,"HH",3,"HH03",16,14,0.875,2014,"RRH",170,NA,NA,NA,NA
"2014_170_RRH",2014-06-19,"HH",4,"HH04",16,0,0,2014,"RRH",170,NA,NA,NA,NA
"2014_176_OR",2014-06-25,"OR",3,"OR01",15,4,0.266666667,2014,"OR",176,"mid",9.572083333,NA,NA
"2014_176_OR",2014-06-25,"OR",1,"OR07",15,2,0.133333333,2014,"OR",176,"mid",9.572083333,NA,NA
"2014_176_OR",2014-06-25,"OR",2,"OR05",15,0,0,2014,"OR",176,"mid",9.572083333,NA,NA
"2014_176_OR",2014-06-25,"OR",4,"OR02",15,1,0.066666667,2014,"OR",176,"mid",9.572083333,NA,NA
"2014_176_ORF",2014-06-25,"CF",3,"CF06",15,3,0.2,2014,"ORF",176,"mid",9.157083333,NA,NA
"2014_176_ORF",2014-06-25,"CF",4,"CF03",15,2,0.133333333,2014,"ORF",176,"mid",9.157083333,NA,NA
"2014_176_ORF",2014-06-25,"CF",1,"CF05",15,2,0.133333333,2014,"ORF",176,"mid",9.157083333,NA,NA
"2014_176_ORF",2014-06-25,"CF",2,"CF04",15,3,0.2,2014,"ORF",176,"mid",9.157083333,NA,NA
"2014_182_RR",2014-07-01,"RR",1,"RR04",12,0,0,2014,"RR",182,NA,NA,NA,NA
"2014_182_RR",2014-07-01,"RR",4,"RR01",12,0,0,2014,"RR",182,NA,NA,NA,NA
"2014_182_RR",2014-07-01,"RR",3,"RR02",12,0,0,2014,"RR",182,NA,NA,NA,NA
"2014_182_RR",2014-07-01,"RR",2,"RR03",12,0,0,2014,"RR",182,NA,NA,NA,NA
"2014_182_RRH",2014-07-01,"HH",3,"HH02",12,0,0,2014,"RRH",182,NA,NA,NA,NA
"2014_182_RRH",2014-07-01,"HH",4,"HH01",12,1,0.083333333,2014,"RRH",182,NA,NA,NA,NA
"2014_182_RRH",2014-07-01,"HH",1,"HH04",12,0,0,2014,"RRH",182,NA,NA,NA,NA
"2014_182_RRH",2014-07-01,"HH",2,"HH03",12,2,0.166666667,2014,"RRH",182,NA,NA,NA,NA
"2014_189_OR",2014-07-08,"OR",2,"OR01",13,0,0,2014,"OR",189,"mid",8.467958333,NA,NA
"2014_189_OR",2014-07-08,"OR",1,"OR02",13,0,0,2014,"OR",189,"mid",8.467958333,NA,NA
"2014_189_OR",2014-07-08,"OR",3,"OR05",13,0,0,2014,"OR",189,"mid",8.467958333,NA,NA
"2014_189_OR",2014-07-08,"OR",4,"OR07",13,0,0,2014,"OR",189,"mid",8.467958333,NA,NA
"2014_189_ORF",2014-07-08,"CF",2,"CF06",13,0,0,2014,"ORF",189,"mid",8.358583333,NA,NA
"2014_189_ORF",2014-07-08,"CF",4,"CF05",13,0,0,2014,"ORF",189,"mid",8.358583333,NA,NA
"2014_189_ORF",2014-07-08,"CF",3,"CF04",13,0,0,2014,"ORF",189,"mid",8.358583333,NA,NA
"2014_189_ORF",2014-07-08,"CF",1,"CF03",13,0,0,2014,"ORF",189,"mid",8.358583333,NA,NA
"2014_199_RR",2014-07-18,"RR",3,"RR03",17,0,0,2014,"RR",199,NA,NA,NA,NA
"2014_199_RR",2014-07-18,"RR",4,"RR04",17,0,0,2014,"RR",199,NA,NA,NA,NA
"2014_199_RR",2014-07-18,"RR",1,"RR01",17,0,0,2014,"RR",199,NA,NA,NA,NA
"2014_199_RR",2014-07-18,"RR",2,"RR02",17,0,0,2014,"RR",199,NA,NA,NA,NA
"2014_199_RRH",2014-07-18,"HH",3,"HH03",17,0,0,2014,"RRH",199,NA,NA,NA,NA
"2014_199_RRH",2014-07-18,"HH",4,"HH04",17,0,0,2014,"RRH",199,NA,NA,NA,NA
"2014_199_RRH",2014-07-18,"HH",1,"HH01",17,0,0,2014,"RRH",199,NA,NA,NA,NA
"2014_199_RRH",2014-07-18,"HH",2,"HH02",17,0,0,2014,"RRH",199,NA,NA,NA,NA
"2014_203_OR",2014-07-22,"OR",2,"OR01",14,0,0,2014,"OR",203,"mid",9.257958333,NA,NA
"2014_203_OR",2014-07-22,"OR",3,"OR05",14,0,0,2014,"OR",203,"mid",9.257958333,NA,NA
"2014_203_OR",2014-07-22,"OR",4,"OR07",14,0,0,2014,"OR",203,"mid",9.257958333,NA,NA
"2014_203_OR",2014-07-22,"OR",1,"OR02",14,0,0,2014,"OR",203,"mid",9.257958333,NA,NA
"2014_203_ORF",2014-07-22,"CF",3,"CF04",14,0,0,2014,"ORF",203,"mid",9.004083333,NA,NA
"2014_203_ORF",2014-07-22,"CF",2,"CF06",14,0,0,2014,"ORF",203,"mid",9.004083333,NA,NA
"2014_203_ORF",2014-07-22,"CF",4,"CF05",14,0,0,2014,"ORF",203,"mid",9.004083333,NA,NA
"2014_203_ORF",2014-07-22,"CF",1,"CF03",14,0,0,2014,"ORF",203,"mid",9.004083333,NA,NA
"2014_210_RR",2014-07-29,"RR",2,"RR02",11,0,0,2014,"RR",210,NA,NA,NA,NA
"2014_210_RR",2014-07-29,"RR",3,"RR03",11,0,0,2014,"RR",210,NA,NA,NA,NA
"2014_210_RR",2014-07-29,"RR",4,"RR04",11,0,0,2014,"RR",210,NA,NA,NA,NA
"2014_210_RR",2014-07-29,"RR",1,"RR01",11,0,0,2014,"RR",210,NA,NA,NA,NA
"2014_210_RRH",2014-07-29,"HH",3,"HH03",11,0,0,2014,"RRH",210,NA,NA,NA,NA
"2014_210_RRH",2014-07-29,"HH",4,"HH04",11,0,0,2014,"RRH",210,NA,NA,NA,NA
"2014_210_RRH",2014-07-29,"HH",1,"HH01",11,0,0,2014,"RRH",210,NA,NA,NA,NA
"2014_210_RRH",2014-07-29,"HH",2,"HH02",11,0,0,2014,"RRH",210,NA,NA,NA,NA
"2014_217_OR",2014-08-05,"OR",3,"OR01",14,0,0,2014,"OR",217,"mid",8.466041667,NA,NA
"2014_217_OR",2014-08-05,"OR",4,"OR02",14,0,0,2014,"OR",217,"mid",8.466041667,NA,NA
"2014_217_OR",2014-08-05,"OR",2,"OR05",14,0,0,2014,"OR",217,"mid",8.466041667,NA,NA
"2014_217_OR",2014-08-05,"OR",1,"OR07",14,0,0,2014,"OR",217,"mid",8.466041667,NA,NA
"2014_217_ORF",2014-08-05,"CF",2,"CF04",14,0,0,2014,"ORF",217,"mid",8.182708333,NA,NA
"2014_217_ORF",2014-08-05,"CF",4,"CF03",14,0,0,2014,"ORF",217,"mid",8.182708333,NA,NA
"2014_217_ORF",2014-08-05,"CF",1,"CF05",14,0,0,2014,"ORF",217,"mid",8.182708333,NA,NA
"2014_217_ORF",2014-08-05,"CF",3,"CF06",14,0,0,2014,"ORF",217,"mid",8.182708333,NA,NA
"2014_229_RR",2014-08-17,"RR",4,"RR04",19,0,0,2014,"RR",229,NA,NA,NA,NA
"2014_229_RR",2014-08-17,"RR",2,"RR02",19,0,0,2014,"RR",229,NA,NA,NA,NA
"2014_229_RR",2014-08-17,"RR",3,"RR03",19,0,0,2014,"RR",229,NA,NA,NA,NA
"2014_229_RR",2014-08-17,"RR",1,"RR01",19,0,0,2014,"RR",229,NA,NA,NA,NA
"2014_229_RRH",2014-08-17,"HH",3,"HH03",19,0,0,2014,"RRH",229,NA,NA,NA,NA
"2014_229_RRH",2014-08-17,"HH",4,"HH04",19,0,0,2014,"RRH",229,NA,NA,NA,NA
"2014_229_RRH",2014-08-17,"HH",2,"HH02",19,0,0,2014,"RRH",229,NA,NA,NA,NA
"2014_229_RRH",2014-08-17,"HH",1,"HH01",19,0,0,2014,"RRH",229,NA,NA,NA,NA
"2014_234_OR",2014-08-22,"OR",3,"OR05",17,0,0,2014,"OR",234,"mid",9.839291667,NA,NA
"2014_234_OR",2014-08-22,"OR",2,"OR01",17,0,0,2014,"OR",234,"mid",9.839291667,NA,NA
"2014_234_OR",2014-08-22,"OR",1,"OR02",17,0,0,2014,"OR",234,"mid",9.839291667,NA,NA
"2014_234_OR",2014-08-22,"OR",4,"OR07",17,0,0,2014,"OR",234,"mid",9.839291667,NA,NA
"2014_234_ORF",2014-08-22,"CF",3,"CF04",17,0,0,2014,"ORF",234,"mid",9.458083333,NA,NA
"2014_234_ORF",2014-08-22,"CF",4,"CF05",17,0,0,2014,"ORF",234,"mid",9.458083333,NA,NA
"2014_234_ORF",2014-08-22,"CF",2,"CF06",17,0,0,2014,"ORF",234,"mid",9.458083333,NA,NA
"2014_234_ORF",2014-08-22,"CF",1,"CF03",17,0,0,2014,"ORF",234,"mid",9.458083333,NA,NA
"2014_248_RR",2014-09-05,"RR",3,"RR03",19,0,0,2014,"RR",248,NA,NA,NA,NA
"2014_248_RR",2014-09-05,"RR",2,"RR02",19,0,0,2014,"RR",248,NA,NA,NA,NA
"2014_248_RR",2014-09-05,"RR",4,"RR04",19,0,0,2014,"RR",248,NA,NA,NA,NA
"2014_248_RR",2014-09-05,"RR",1,"RR01",19,0,0,2014,"RR",248,NA,NA,NA,NA
"2014_248_RRH",2014-09-05,"HH",3,"HH03",19,0,0,2014,"RRH",248,NA,NA,NA,NA
"2014_248_RRH",2014-09-05,"HH",4,"HH04",19,0,0,2014,"RRH",248,NA,NA,NA,NA
"2014_248_RRH",2014-09-05,"HH",1,"HH01",19,0,0,2014,"RRH",248,NA,NA,NA,NA
"2014_248_RRH",2014-09-05,"HH",2,"HH02",19,0,0,2014,"RRH",248,NA,NA,NA,NA
"2014_253_OR",2014-09-10,"OR",2,"OR01",19,0,0,2014,"OR",253,"mid",9.78625,NA,NA
"2014_253_OR",2014-09-10,"OR",4,"OR07",19,0,0,2014,"OR",253,"mid",9.78625,NA,NA
"2014_253_OR",2014-09-10,"OR",1,"OR02",19,0,0,2014,"OR",253,"mid",9.78625,NA,NA
"2014_253_OR",2014-09-10,"OR",3,"OR05",19,0,0,2014,"OR",253,"mid",9.78625,NA,NA
"2014_253_ORF",2014-09-10,"CF",4,"CF05",19,0,0,2014,"ORF",253,"mid",9.615875,NA,NA
"2014_253_ORF",2014-09-10,"CF",3,"CF04",19,0,0,2014,"ORF",253,"mid",9.615875,NA,NA
"2014_253_ORF",2014-09-10,"CF",2,"CF06",19,0,0,2014,"ORF",253,"mid",9.615875,NA,NA
"2014_253_ORF",2014-09-10,"CF",1,"CF03",19,0,0,2014,"ORF",253,"mid",9.615875,NA,NA
"2014_259_RR",2014-09-16,"RR",1,"RR01",11,0,0,2014,"RR",259,NA,NA,NA,NA
"2014_259_RR",2014-09-16,"RR",4,"RR04",11,0,0,2014,"RR",259,NA,NA,NA,NA
"2014_259_RR",2014-09-16,"RR",3,"RR03",11,0,0,2014,"RR",259,NA,NA,NA,NA
"2014_259_RR",2014-09-16,"RR",2,"RR02",11,0,0,2014,"RR",259,NA,NA,NA,NA
"2014_259_RRH",2014-09-16,"HH",3,"HH03",11,0,0,2014,"RRH",259,NA,NA,NA,NA
"2014_259_RRH",2014-09-16,"HH",4,"HH04",11,0,0,2014,"RRH",259,NA,NA,NA,NA
"2014_259_RRH",2014-09-16,"HH",1,"HH01",11,0,0,2014,"RRH",259,NA,NA,NA,NA
"2014_259_RRH",2014-09-16,"HH",2,"HH02",11,0,0,2014,"RRH",259,NA,NA,NA,NA
