year,DDpre,DDegg,DDlarv,DDpjuv,DDben,Tcop,Tpart,MLDpart,MLDlarv,MLDpjuv,CSTlarv,CSTpjuv,LSTlarv,LSTpjuv,hci1_larv,hci1_pjuv,hci2_larv,hci2_pjuv,oni_pre,oni_larv,oni_pjuv,pdo_larv,pdo_pjuv,lusi_annual,ZOOpjuvN,ZOObenN,ZOOpjuvS,ZOObenS,X,CutiSTIpjuv,CutiTUMIpjuv,BeutiTUMIpjuv,BeutiSTIpjuv,CHLpjuv,PPpjuv,bakun_sti
2003,33119.1521057869,36032.292636121,31781.3708311284,40685.8800496051,36961.932756492,10.7278696616161,10.7427498290358,14.49500417,11.95909003,10.89086519,0.017686345,0.005641232,-0.0502389755,-0.1094161694,0.0654897494305239,0.289521640091116,0.0654897494305239,0.289521640091116,0.916666666666667,0.505,-0.034,1.715,0.638,154,-0.0252714176,-0.141425013333333,0.1612524154,-0.0893253086666667,16,0.706308080644805,0.652840968430191,-0.676120837702969,0.859459161810296,0.665325110388095,1.028412292537,0.175171304183246
2004,33193.7002019063,33469.3400797811,28256.6077462897,41533.0008189358,37092.5075579876,11.2024984649623,10.0024552011161,14.9179135775,11.55575493,10.666246772,0.0203161365,0.009037274,-0.0602976165,-0.1137804956,0.357630979498861,0.0706150341685649,0.357630979498861,0.0706150341685649,0.272222222222222,0.27,0.346,0.415,0.294,179,0.2056824832,-0.34540399025,0.2194564988,0.038733654,17,-0.774210660071602,1.0564156601181,-0.646362165465511,-0.623755813848466,0.175986668404567,0.637829227605556,-0.0330240983296281
2005,34373.124289114,31274.6389635969,31932.6214577808,45000.065750119,36357.1211388088,10.5160231692685,10.5094440556219,13.7009215775,11.10947922,11.41125748,0.008881793,0.00842437,-0.016785936,-0.1020399984,0.219248291571754,0.194077448747153,0.219248291571754,0.194077448747153,0.611111111111111,0.515,0.126,0.755,0.65,130,-0.9937721398,0.135073788,0.593346312,0.16252365925,18,1.56994401272938,0.709436772550615,-0.747369377540431,0.356882186587079,-0.121433362119461,-0.1583246765408,1.21614831674762
2006,33800.0589103126,34084.8467640122,27933.5669021692,40194.3019882037,35594.2964403392,10.27511161393,10.2474189319867,16.17918397,12.69329792,11.112926794,0.0140476155,0.0039961686,-0.024230103,-0.0969975338,0.523348519362187,0.407061503416857,0.523348519362187,0.407061503416857,-0.466666666666667,-0.67,-0.028,0.43,0.344,196,-0.1769745842,0.04687810875,0.021875738,0.098031718,19,0.29131419120157,3.36033097091215,0.499173849460022,0.61429966170141,1.26029658162294,1.02603994757879,-0.157941339837353
2007,31426.7859681171,32604.4236487707,26075.9404390755,39124.4780809998,33519.4237820031,10.4418494993121,9.44239173553365,13.97787628,11.57351906,10.847399432,0.0192589445,0.011330441,-0.0357706055,-0.1242994586,0.809225512528474,0.476537585421412,0.809225512528474,0.476537585421412,0.483333333333333,0.05,-0.508,-0.185,0.468,155,0.1420161934,0.037978109,-0.194979512,-0.21799550225,20,0.571715467852404,-0.681435076193367,-0.102704828879658,0.712363461744964,0.842964495897831,1.58909815369715,0.175171304183246
2008,29785.7007164595,29493.4481690378,22669.658467152,33942.0712190419,34894.1464420169,10.4517999362149,8.62201564945604,13.778740655,11.552687745,11.044654546,0.024241608,0.0062913364,-0.078279221,-0.1126831882,1,0.843507972665148,1,0.843507972665148,-1.25888888888889,-1.405,-0.612,-0.82,-1.17,180,0.3935656378,0.21766284075,-0.2673379472,-0.135324479,21,-1.37987741763741,0.64788717098718,2.23152448670647,-1.42052418920235,0.838052987866898,0.813785998341914,-1.03236203039142
2009,29920.2724632977,31043.5491838605,23992.1734844926,36088.9736589421,37006.0482805162,10.7802218113405,8.88597897398824,12.7962210925,11.71460966,10.958158234,0.01682921,0.009705049,-0.025799337,-0.106311274,1,0.634851936218679,1,0.634851936218679,-0.524444444444444,-0.7,0.198,-1.365,-0.542,202,0.3024303344,-0.03899565675,-0.2596607246,-0.25545341425,22,-1.76122315388254,-0.247391866898983,1.10278118996579,-1.83729533938745,1.8394918649875,1.24686318978565,-1.2405574329043
2010,33602.9069138394,32798.4926234232,32298.9406758762,38629.068575125,36684.4522648321,10.4163315203308,10.4540244573266,16.205149695,12.958353995,11.522233882,0.0155818525,0.011625818,-0.0039808005,-0.1256453178,0.170842824601367,0.795216400911162,0.170842824601367,0.795216400911162,1.02555555555556,1.03,-0.576,0.84,-0.292,104,-0.0595660286,0.314839048333333,0.2483101562,-0.0984253086666667,23,0.336178395465703,-0.997972079473958,0.144744763836675,0.454945986630633,-0.241011813258987,-0.408650996972925,1.71581728277851
2011,31515.8178652229,34225.6601512005,24896.3476398525,36888.592892518,35536.5932053809,10.7877752448978,9.37267281228977,14.613470345,12.321784895,11.008478416,0.019975542,0.0102991516,-0.019681588,-0.1249741824,0.836560364464692,0.583826879271071,0.836560364464692,0.583826879271071,-1.37444444444444,-1.06,-0.564,-0.845,-1.134,142,0.46252415,0.27698517675,-0.1768795478,-0.09930263225,24,0.167937629475202,-1.1475448022694,0.386105514500571,0.271076361548968,-0.299698369717812,-0.191067986360101,0.216810384685821
2012,30198.3687802306,29778.91212266,22444.9427106548,37789.0600450863,36486.6310204315,10.1308135980958,8.94648426415729,13.635558235,11.654032715,10.992158356,0.0128097375,0.0072414504,-0.016805924,-0.1040797854,1,0.593394077448747,1,0.593394077448747,-0.804444444444444,-0.655,-0.024,-0.945,-1.176,162,0.350314609,-0.0652468665,-0.1488209854,-0.03457980325,25,1.08765381688994,-0.509463731626032,0.354197374335452,1.2762303119954,-1.00109861346396,-1.21590961205934,0.46664486770127
2013,31546.9369744812,37471.7320748008,23382.5690556349,37210.4327873303,36154.5946907065,11.3109030979381,9.14389768606013,13.2344756525,11.17337895,10.955003026,0.0198534475,0.0080567778,-0.083589085,-0.0991251084,0.930523917995444,0.387015945330296,0.930523917995444,0.387015945330296,-0.0111111111111111,-0.385,-0.358,-0.77,-0.71,162,0.4216189714,0.04979111675,-0.2452166506,-0.0481052245,26,-1.54811818362791,0.105606150894956,0.225023834829778,-1.60439381428401,0.0471266882180608,-0.623643853759613,-0.532693064360526
2014,31463.5148596885,27352.8552534269,26796.6236350682,40167.3454747112,45694.9926331788,11.6380959401839,9.50572109886237,11.981170685,11.096060275,10.836791394,0.0148526845,-0.0015118868,-0.0046373295,-0.0896731242,0.639521640091116,0.159908883826879,0.639521640091116,0.159908883826879,-0.305555555555556,-0.365,0.106,0.225,0.59,134,0.2987980566,-0.49359550225,-0.1380227422,0.24186115925,27,0.863332795569273,-0.0489203693434961,-0.530573410160114,0.61429966170141,0.577291907964995,0.766377271033025,0.716479350716719
