"","fitted_LFO","var","year","Y_Rec","sd","residual_LFO","Type","fitted_LOO","residuals_loo"
"84",-0.194796184449137,"CutiSTIpjuv",2014,0.0104437,NA,NA,"predicted",-0.176256934965209,0.186700634965209
"85",0.0217831059715252,"CutiTUMIpjuv",2011,-0.448451,NA,NA,"predicted",-0.0332611443780471,-0.415189855621953
"86",-0.0366259769742189,"CutiTUMIpjuv",2012,-0.218587,NA,NA,"predicted",-0.0390907148098649,-0.179496285190135
"87",-0.0537760939735163,"CutiTUMIpjuv",2013,0.0738459,NA,NA,"predicted",-0.0447100527989322,0.118555952798932
"88",-0.046010313012317,"CutiTUMIpjuv",2014,0.0104437,NA,NA,"predicted",-0.0432982835510135,0.0537419835510135
"89",-0.037147177891774,"BeutiTUMIpjuv",2011,-0.448451,NA,NA,"predicted",-0.0648095573617246,-0.383641442638275
"90",-0.0628063648728223,"BeutiTUMIpjuv",2012,-0.218587,NA,NA,"predicted",-0.0632972797493762,-0.155289720250624
"91",-0.0659933063997833,"BeutiTUMIpjuv",2013,0.0738459,NA,NA,"predicted",-0.0571751352113344,0.131021035211334
"92",-0.0233840114200217,"BeutiTUMIpjuv",2014,0.0104437,NA,NA,"predicted",-0.0213638105174519,0.0318075105174519
"93",0.0546226171716161,"BeutiSTIpjuv",2011,-0.448451,NA,NA,"predicted",0.00242482606682116,-0.450875826066821
"94",-0.338154041626144,"BeutiSTIpjuv",2012,-0.218587,NA,NA,"predicted",-0.26860876657323,0.0500217665732302
"95",-0.0869336324916724,"BeutiSTIpjuv",2013,0.0738459,NA,NA,"predicted",-0.0527867285284048,0.126632628528405
"96",-0.0808942911603305,"BeutiSTIpjuv",2014,0.0104437,NA,NA,"predicted",-0.0740078822529591,0.0844515822529591
"97",-0.306303642628198,"X",2011,-0.448451,NA,NA,"predicted",-0.175692185639804,-0.272758814360196
"98",-0.36964956534559,"X",2012,-0.218587,NA,NA,"predicted",-0.181011548999816,-0.0375754510001838
"99",-0.372098354370952,"X",2013,0.0738459,NA,NA,"predicted",-0.185741923750097,0.259587823750097
"100",-0.31477573893411,"X",2014,0.0104437,NA,NA,"predicted",-0.190227763674237,0.200671463674237
"101",-0.07224208190241,"dfa",2011,-0.448451,NA,NA,"predicted",-0.100807792574236,-0.347643207425764
"102",-0.107243231825274,"dfa",2012,-0.218587,NA,NA,"predicted",-0.0981117731360377,-0.120475226863962
"103",-0.129279272429815,"dfa",2013,0.0738459,NA,NA,"predicted",-0.108900554531446,0.182746454531446
"104",-0.0284161011255697,"dfa",2014,0.0104437,NA,NA,"predicted",-0.0264322494670181,0.0368759494670181
"105",0.00159953716676673,"dfa",1994,0.3713,0.207673,0.369700462833233,"fitted",-0.00706617415000284,0.378366174150003
"106",0.0263954116622709,"dfa",1995,0.294065,0.216216,0.267669588337729,"fitted",0.0244120820802989,0.269652917919701
"107",0.0130164093394993,"dfa",1996,-0.300866,0.299939,-0.313882409339499,"fitted",0.00742749606379087,-0.308293496063791
"108",0.0148482113894716,"dfa",1997,-0.0262369,0.251351,-0.0410851113894716,"fitted",0.0097529609028181,-0.0359898609028181
"109",0.107884845034815,"dfa",1998,0.488059,0.196957,0.380174154965185,"fitted",0.127862567937645,0.360196432062356
"110",-0.0603321939715995,"dfa",1999,0.39868,0.225575,0.459012193971599,"fitted",-0.0856882409725341,0.484368240972534
"111",-0.0550095135781395,"dfa",2000,0.677969,0.176911,0.73297851357814,"fitted",-0.0789311210620841,0.756900121062084
"112",-0.0706486315662899,"dfa",2001,-0.0174897,0.249959,0.0531589315662899,"fitted",-0.0987849142128572,0.0812952142128572
"113",-0.0759826454892052,"dfa",2002,-0.508487,0.287332,-0.432504354510795,"fitted",-0.105556421990266,-0.402930578009734
"114",0.015997914760043,"dfa",2003,-0.288797,0.242626,-0.304794914760043,"fitted",0.0112125043964054,-0.300009504396405
"115",-0.00842882610148741,"dfa",2004,-0.0738993,0.202608,-0.0654704738985126,"fitted",-0.0197971382699613,-0.0541021617300387
"116",0.0244781524941955,"dfa",2005,-0.92342,0.306746,-0.947898152494196,"fitted",0.0219781297966676,-0.945398129796668
"117",-0.0207856348988963,"dfa",2006,0.261821,0.160438,0.282606634898896,"fitted",-0.0354840539936701,0.29730505399367
"118",-0.0421942310373603,"dfa",2007,-0.806397,0.288319,-0.76420276896264,"fitted",-0.0626621748895781,-0.743734825110422
"119",-0.125542231058281,"dfa",2008,0.399459,0.171487,0.525001231058281,"fitted",-0.168472103121706,0.567931103121706
"120",-0.0924268568445581,"dfa",2009,-0.76894,0.307697,-0.676513143155442,"fitted",-0.126432277714509,-0.64250772228549
"121",-0.00111561730124514,"dfa",2010,0.474934,0.225107,0.476049617301245,"fitted",-0.0105130510917177,0.485447051091718
"122",0.233575915700564,"X",1994,0.3713,0.207673,0.137724084299436,"fitted",0.235211729832256,0.136088270167744
"123",0.201818294617579,"X",1995,0.294065,0.216216,0.0922467053824208,"fitted",0.197153620405747,0.096911379594253
"124",0.170060673534713,"X",1996,-0.300866,0.299939,-0.470926673534713,"fitted",0.159340045805379,-0.460206045805379
"125",0.138303052452124,"X",1997,-0.0262369,0.251351,-0.164539952452124,"fitted",0.122115459814742,-0.148352359814742
"126",0.106545431369988,"X",1998,0.488059,0.196957,0.381513568630012,"fitted",0.0858923818297445,0.402166618170256
"127",0.0747878102884768,"X",1999,0.39868,0.225575,0.323892189711523,"fitted",0.0510996817529604,0.34758031824704
"128",0.0430301892077349,"X",2000,0.677969,0.176911,0.634938810792265,"fitted",0.0181449455546325,0.659824054445368
"129",0.011272568127872,"X",2001,-0.0174897,0.249959,-0.028762268127872,"fitted",-0.0126120018225023,-0.00487769817749773
"130",-0.0204850529510442,"X",2002,-0.508487,0.287332,-0.488001947048956,"fitted",-0.0408770265592814,-0.467609973440719
"131",-0.0522426740289907,"X",2003,-0.288797,0.242626,-0.236554325971009,"fitted",-0.0664332786422733,-0.222363721357727
"132",-0.0840002951059906,"X",2004,-0.0738993,0.202608,0.0101009951059906,"fitted",-0.0891482016570929,0.0152489016570929
"133",-0.115757916182111,"X",2005,-0.92342,0.306746,-0.807662083817889,"fitted",-0.108977227992923,-0.814442772007077
"134",-0.147515537257463,"X",2006,0.261821,0.160438,0.409336537257463,"fitted",-0.12596492526058,0.38778592526058
"135",-0.17927315833219,"X",2007,-0.806397,0.288319,-0.62712384166781,"fitted",-0.14024384987445,-0.66615315012555
"136",-0.211030779406463,"X",2008,0.399459,0.171487,0.610489779406463,"fitted",-0.152030851847965,0.551489851847965
"137",-0.24278840048046,"X",2009,-0.76894,0.307697,-0.52615159951954,"fitted",-0.161620065000286,-0.607319934999714
"138",-0.274546021554338,"X",2010,0.474934,0.225107,0.749480021554338,"fitted",-0.169371314274152,0.644305314274152
"139",0.0260440586560398,"BeutiSTIpjuv",1994,0.3713,0.207673,0.34525594134396,"fitted",-0.0167939909076469,0.388093990907647
"140",0.0765191608155121,"BeutiSTIpjuv",1995,0.294065,0.216216,0.217545839184488,"fitted",0.0173201203288018,0.276744879671198
"141",-0.358847170577392,"BeutiSTIpjuv",1996,-0.300866,0.299939,0.0579811705773916,"fitted",-0.272441701787655,-0.0284242982123447
"142",0.0478258212076969,"BeutiSTIpjuv",1997,-0.0262369,0.251351,-0.0740627212076969,"fitted",-0.00216401827283734,-0.0240728817271627
"143",0.142926309232399,"BeutiSTIpjuv",1998,0.488059,0.196957,0.345132690767601,"fitted",0.0676410690706351,0.420417930929365
