date,temp_90_180,temp_0_180,temp_0_90,temp_30_130,temp_180_549,dd_90_180,dd_0_180,dd_0_90,dd_30_130,dd_180_549
2020-11-20,10.4687917265296,10.468922027337,10.4690641613074,10.6104729144778,10.0328567305314,33799.4367711172,64786.2541037798,30986.8173326626,42518.5617859215,34954.3718966991
2020-11-21,10.4325307608906,10.4279901331848,10.4230371520234,10.5738849795264,9.97458999588427,33609.9732256532,64376.3211838454,30766.3479581922,42283.2281883135,34616.7744361535
2020-11-22,10.3924110407578,10.3803382552308,10.3671690893898,10.5248771499801,9.93691766128319,33400.3476879597,63899.0876261368,30498.7399381772,41968.0098286718,34398.5009294748
2020-11-23,10.3658688039686,10.3389571676247,10.3096015726568,10.4885830126195,9.89987803005713,33261.6645007357,63484.6560337618,30222.9915330261,41734.5659371689,34183.893306151
2020-11-24,10.3434375067761,10.3078616739882,10.2690550505399,10.4537481838358,9.87651895012862,33144.4609729052,63173.2346649915,30028.7736920863,41510.5083184317,34048.5507970452
2020-11-25,10.3276579246082,10.2817096486554,10.2315886169532,10.429993282107,9.8476860062957,33062.0126560777,62911.3221312836,29849.3094752058,41357.7167905122,33881.4927204773
2020-11-26,10.2953237011088,10.2521627095926,10.205082087323,10.3952855378626,9.8153153593759,32893.0663382933,62615.4095365703,29722.3431982771,41134.476579532,33693.937192224
2020-11-27,10.2809809712517,10.2443691812273,10.204432520919,10.3865713646649,9.80877506476787,32818.1255747899,62537.3573499918,29719.2317752019,41078.4270175248,33656.042725265
2020-11-28,10.2755523329503,10.2405072291717,10.2022795324612,10.3805748191836,9.81212731813424,32789.7609396651,62498.6799001545,29708.9189604893,41039.8572369888,33675.4656812698
2020-11-29,10.2594406626726,10.2276854693614,10.1930464536932,10.3599394101705,9.81913130025067,32705.5774624646,62370.2699756548,29664.6925131902,40907.1302862167,33716.0467536524
2020-11-30,10.2838189297915,10.2490217196126,10.2110644287599,10.3873287475244,9.85018079173145,32832.9539081603,62583.9525219202,29750.9986137599,41083.2985040769,33895.947507292
2020-12-01,10.2469474771462,10.2148816275577,10.1799037436121,10.3547299689328,9.82177247340036,32640.3005680889,62242.0394999906,29601.7389319018,40873.623160176,33731.3497108817
2020-12-02,10.1869156474189,10.1644621855071,10.139969630499,10.3020782521335,9.77937350959013,32326.6342577636,61737.0887878537,29410.4545300901,40534.9673177227,33485.6901145652
2020-12-03,10.187231895108,10.1524699928325,10.1145512163421,10.2935630186225,9.78158398935347,32328.2866519392,61616.986978218,29288.7003262788,40480.1973357797,33498.497634314
2020-12-04,10.2105939922364,10.1690867864291,10.1238101370882,10.3105060296175,9.79907504571258,32450.3536094353,61783.4041660875,29333.0505566523,40589.1747824997,33599.8408148587
2020-12-05,10.2145076975697,10.1697686214292,10.1209666020484,10.3086703640492,9.80477531755798,32470.8027198017,61790.2327436134,29319.4300238118,40577.3677815646,33632.8681899309
2020-12-06,10.2723168219077,10.2124583817256,10.14716394541,10.3562336887733,9.85392189536386,32772.8553944677,62217.7706929818,29444.9152985141,40883.2950861901,33917.6234617382
2020-12-07,10.3012718491335,10.2418171451522,10.1769631100161,10.3873255590234,9.87386033181095,32924.1454117224,62511.7987086997,29587.6532969773,41083.2779956386,34033.1467625126
2020-12-08,10.3392329264628,10.2762412193272,10.2075289709381,10.4210993002287,9.91140637856554,33122.4920407683,62856.5558115616,29734.0637707934,41300.510699071,34250.6885574088
2020-12-09,10.3579558830669,10.3012944686178,10.2394873933575,10.443146987429,9.93485382206231,33220.3194890246,63107.464103207,29887.1446141824,41442.3214231431,34386.5430450291
2020-12-10,10.3222060163084,10.2679054701434,10.2086736635229,10.4017804004982,9.91639594943705,33033.5264352113,62773.0732834861,29739.5468482748,41176.2515360043,34279.5981310383
2020-12-11,10.2874622265289,10.2206017134595,10.1476693166354,10.3557843378842,9.90230606876321,32851.9901336134,62299.3261602968,29447.3360266835,40880.4048612714,34197.9613624141
2020-12-12,10.2424061827597,10.1677152910138,10.0862414059674,10.3074287845399,9.8891760515712,32616.5723049194,61769.6686395034,29153.0963345841,40569.3819421604,34121.8860428035
2020-12-13,10.2519638439699,10.1612551548744,10.0623088290864,10.3009127411477,9.92518148773013,32666.5110847428,61704.9703760669,29038.459291324,40527.470751062,34330.5015399084
2020-12-14,10.2590631560119,10.1644552377087,10.0612555773466,10.3094217115318,9.94139462232739,32703.604990162,61737.0192056522,29033.4142154902,40582.2004485726,34424.4404417649
2020-12-15,10.2845359541397,10.1794910780501,10.0649066359691,10.3253492988375,9.97038659530032,32836.7003603801,61887.6031466723,29050.9027862921,40684.6466901228,34592.4199331701
2020-12-16,10.3214909544901,10.211778521363,10.0921026418036,10.3568956443533,10.0014326735961,33029.7902372107,62210.96189145,29181.1716542393,40887.5527844802,34772.3009108156
2020-12-17,10.353450474943,10.2398061597401,10.1158413273945,10.3809596029277,10.0175671785231,33196.7787315771,62491.6586897969,29294.8799582198,41042.332166031,34865.7842323631
2020-12-18,10.306010658145,10.1925718810407,10.0688312525711,10.3265004615689,9.96177879545785,32948.9056888074,62018.6073886231,29069.7016998157,40692.0509688109,34542.5463408828
2020-12-19,10.3271842539781,10.207579783919,10.0771135300445,10.3415688617336,9.95915746934709,33059.5377270356,62168.9115359485,29109.3738089129,40788.9709186703,34527.3583773971
2020-12-20,10.3659421184816,10.2504057210651,10.1243769785805,10.3838297093162,9.97019849088034,33262.0475690663,62597.8132964671,29335.7657274008,41060.7926903218,34591.3300561607
2020-12-21,10.3880981007532,10.2794941785644,10.1610274784734,10.4079531106591,9.97894547282389,33377.8125764355,62889.1341983229,29511.3216218874,41215.954407759,34642.0100695416
2020-12-22,10.3366433681469,10.2314698254785,10.1167450320668,10.3567904238207,9.9250952732043,33108.9615985677,62408.1703021675,29299.2087035999,40886.8760060146,34330.0020129457
2020-12-23,10.2224112263636,10.1110252048848,9.98952375139287,10.2239168193122,9.84045207663897,32512.0986577496,61201.9174269214,28689.8187691718,40032.2329818159,33839.5793320462
2020-12-24,10.1557951085348,10.035044080966,9.90332714588321,10.1468917454676,9.8066802540531,32164.0294420943,60440.9664708749,28276.9370287806,39536.8077068478,33643.9053919837
