,31N,32N,33N,34N,35N,36N,37N,38N,39N,40N,41N,42N,43N,44N,45N,46N,47N
2001,313.339,224.275,287.268,793.388,2115.692,2211.681,2577.761,3637.911,5510.372,4743.13,3651.409,3121.044,2124.318,632.002,682.848,302.251,362.285
2002,489.766,351.963,373.514,1141.509,2506.51,2485.411,2877.692,2808.67,6118.015,6010.728,4847.111,4836.917,3109.176,904.86,941.395,283.161,405.801
2003,280.92,201.401,227.017,901.802,1656.798,2019.838,2008.043,1772.503,3838.561,3264.847,1585.608,2124.38,995.887,326.13,247.014,97.813,126.125
2004,301.291,195.909,177.924,815.775,1787.662,2127.29,2180.024,1842.303,3267.399,2974.456,2195.034,1792.715,1027.43,263.11,276.795,106.602,102.618
2005,303.874,178.647,150.153,838.964,1487.795,1569.638,1927.502,1706.601,3263.721,2843.684,2108.094,1447.531,844.328,280.273,212.501,144.95,77.437
2006,319.152,158.625,227.689,742.301,1441.91,1652.161,1818.19,2037.13,3990.36,3862.103,2965.853,2811.94,1899.508,526.949,535.367,245.088,285.398
2007,410.829,382.399,378.3,1271.876,2302.457,3037.12,3275.388,2906.251,5965.488,4877.618,2796.595,2802.571,1763.375,236.527,418.205,148.345,194.649
2008,557.102,425.144,393.862,1477.814,3124.452,3994.773,3915.948,3325.279,6046.565,5627.824,3420.361,3974.98,2447.617,636.704,906.593,492.107,544.02
2009,359.426,242.074,185.722,749.497,1741.516,2137.68,2673.308,2782.691,4312.284,4065.815,2787.601,2846.951,1839.736,560.268,755.243,322.876,293.263
2010,461.598,280.94,299.889,1061.501,2087.469,2349.342,2779.514,2895.618,4360.85,3829.623,2464.971,2680.091,1800.274,644.896,406.225,250.181,230.045
2011,456.664,247.058,208.773,896.552,1760.046,1811.94,2475.557,2560.523,4041.427,3475.881,2325.773,2278.886,1448.068,354.095,489.949,246.02,272.652
2012,582.523,307.584,340.565,1003.478,2207.897,2412.534,2833.085,2548.969,3949.111,2750.485,1909.623,1881.084,1229.95,483.559,428.184,300.449,263.837
2013,775.627,406.675,547.579,1676.645,2994.106,3336.009,3306.938,4474.579,6142.562,5753.128,4032.109,3979.119,2183.325,900.262,349.689,286.814,290.583
2014,398.643,130.138,107.082,529.775,1288.576,1452.382,1389.719,1968.158,2917.371,3017.056,2607.868,2377.709,1208.141,548.36,199.479,107.042,238.103
2015,310.925,105.654,105.157,475.177,1085.449,1261.488,1242.605,2009.888,2886.753,2969.782,2302.423,2103.291,1069.375,661.201,396.226,301.739,435.018
2016,435.67,211.064,272.236,862.796,1466.463,1780.617,1554.074,2233.914,2987.244,3234.16,2622.125,2272.942,1138.959,701.84,400.823,224.506,320.44
2017,533.381,259.478,371.26,1124.821,1871.425,2221.643,1917.988,2417.099,3596.94,3505.005,2239.245,2359.598,1230.203,704.146,473.228,218.722,329.941
2018,538.094,243.493,286.843,1168.182,1906.01,2470.645,2113.129,3012.438,4647.415,4377.482,3276.242,2973.119,1486.654,607.416,419.665,185.328,416.433
2019,413.538,194.795,197.816,776.519,1477.269,2040.297,1667.258,2382.565,4491.338,4443.872,3177.028,3091.013,1705.366,941.237,481.885,329.671,398.82
2020,433.117,153.809,145.384,792.226,2022.519,2745.973,2422.871,2713.46,4876.427,5055.47,3619.712,3784.485,2087.624,818.82,606.501,309.398,332.78
2021,758.01,322.198,335.854,1408.971,2713.624,3414.706,2987.347,3529.854,7445.846,6772.13,4683.926,4815.302,2481.297,1199.192,915.392,566.33,590.714
2022,0.411,0.24,0.381,1.51,0.484,3.905,4.627,1.967,1.514,2.681,3.07,5.497,2.233,1.054,0.417,0.494,0.061
