year,DDpre,DDegg,DDlarv,DDpjuv,DDben,Tcop,Tpart,MLDpart,MLDlarv,MLDpjuv,CSTlarv,CSTpjuv,LSTlarv,LSTpjuv
2008,29785.7007164595,29493.4481690378,22669.658467152,33942.0712190419,34894.1464420169,10.4517999362149,8.62201564945604,13.778740655,11.552687745,11.044654546,0.024241608,0.0062913364,-0.078279221,-0.1126831882
2009,29920.2724632977,31043.5491838605,23992.1734844926,36088.9736589421,37006.0482805162,10.7802218113405,8.88597897398824,12.7962210925,11.71460966,10.958158234,0.01682921,0.009705049,-0.025799337,-0.106311274
2010,33602.9069138394,32798.4926234232,32298.9406758762,38629.068575125,36684.4522648321,10.4163315203308,10.4540244573266,16.205149695,12.958353995,11.522233882,0.0155818525,0.011625818,-0.0039808005,-0.1256453178
2011,31515.8178652229,34225.6601512005,24896.3476398525,36888.592892518,35536.5932053809,10.7877752448978,9.37267281228977,14.613470345,12.321784895,11.008478416,0.019975542,0.0102991516,-0.019681588,-0.1249741824
2012,30198.3687802306,29778.91212266,22444.9427106548,37789.0600450863,36486.6310204315,10.1308135980958,8.94648426415729,13.635558235,11.654032715,10.992158356,0.0128097375,0.0072414504,-0.016805924,-0.1040797854
2013,31546.9369744812,37471.7320748008,23382.5690556349,37210.4327873303,36154.5946907065,11.3109030979381,9.14389768606013,13.2344756525,11.17337895,10.955003026,0.0198534475,0.0080567778,-0.083589085,-0.0991251084
2014,31463.5148596885,27352.8552534269,26796.6236350682,40167.3454747112,45694.9926331788,11.6380959401839,9.50572109886237,11.981170685,11.096060275,10.836791394,0.0148526845,-0.0015118868,-0.0046373295,-0.0896731242
2015,40370.6012189978,45986.1365772067,36565.0252164505,42309.3007996025,43221.8736948446,11.8648778540628,11.3981402051851,13.3649680575,11.570963065,10.869105112,0.016043923,0.000828322,-0.046509336,-0.101282424
2016,39675.0133351982,40822.543426767,35955.2635818884,43106.4094728788,42503.4527732243,11.122524633627,11.2919452187283,16.081802745,13.215486515,10.790986426,0.012395165,0.0039839024,-0.0065358245,-0.121173815
2017,37167.3864209049,43988.7334220522,30427.8621545284,42975.9445731758,39535.6400675807,11.0926877843875,10.3469456762024,15.07608974,12.155645595,11.529686712,0.0122560695,0.0126448956,0.0012319365,-0.1218736258
2018,34916.9875148951,36333.2245870692,28075.9824637867,41540.5574891081,38975.4669931324,11.1063028346384,10.128719594099,13.9417194975,11.38335346,11.022241668,0.0154440965,0.0116984792,-0.074296463,-0.1235526062
2019,35490.3060921808,35936.9281816682,29921.0226052881,44875.9755566694,39158.0445962788,11.9067711634351,10.5394828360413,14.7346697525,12.12344013,10.70405491,-0.0004850125,-0.007130805,-0.004604359,-0.0605515392
2020,35511.3878138384,32409.5095415461,26988.106438227,42036.2926789413,38195.7744343212,11.2080536879715,9.8072671269642,12.9503364475,10.698731755,10.647641904,-0.001650287,0.0009265926,-0.0399473415,-0.066442193
2021,33581.6438895284,33121.8670256972,25187.3022078662,37935.7102914615,38964.4969958393,10.9479144553709,9.43849433568838,12.472489035,10.76633767,10.661840356,-0.0007207535,-0.0119805784,-0.043598126,-0.0576580822
2022,33939.6996854953,37778.6062256877,25095.0329064174,39642.2963780993,34974.0362831311,10.6761961831016,9.43461865076058,13.0213955625,10.37509031,10.605134716,-0.00160317,-0.0064882036,-0.048922311,-0.0607020602
2023,31851.9438292781,30499.002837008,23532.3921857323,39950.0267976457,41952.9302458239,11.589703304412,9.39018399841944,16.5265197425,11.58572209,10.990490708,-0.001024058,-0.008054208,-0.014051565,-0.0486508104
2024,38862.3894507702,40009.8234928835,,,,,,16.7404167775,12.119073985,10.598437866,0.005820387,-0.0063874312,-0.0061357795,-0.066983088
