date,lst_90_180,lst_0_180,lst_0_90,lst_30_130,lst_180_549
2/1/01,-0.031572084,-0.024843131,-0.018147626,-0.024854398,-0.035908744
3/1/01,-0.064663478,-0.071576142,-0.078230349,-0.080270585,-0.023079716
4/1/01,-0.112317624,-0.105271999,-0.097991341,-0.109229894,-0.060396836
5/1/01,-0.108557349,-0.114869755,-0.120713378,-0.122821695,-0.028105163
6/1/01,-0.132407609,-0.136041779,-0.138981141,-0.146674577,-0.050809609
7/1/01,-0.121596794,-0.131689116,-0.141306194,-0.136383647,-0.033878608
8/1/01,-0.059911851,-0.07053087,-0.080695733,-0.073318041,-0.017071171
9/1/01,-0.017549004,-0.033801105,-0.049582515,-0.035204811,0.012390955
10/1/01,-0.021089882,-0.032222848,-0.042827229,-0.032486146,0.004780772
11/1/01,0.093259921,0.089535001,0.085929558,0.099031612,0.056264233
12/1/01,0.011671039,0.010643164,0.009771006,0.00999401,0.002882911
1/1/02,0.000464496,-0.010100192,-0.020277877,-0.015427533,0.006394389
2/1/02,-0.022024386,-0.019271415,-0.016193287,-0.02274556,0.00224654
3/1/02,-0.103434319,-0.100420481,-0.096968425,-0.105532495,-0.044999498
4/1/02,-0.135968125,-0.132093504,-0.127783053,-0.141133725,-0.065619583
5/1/02,-0.14711279,-0.141507628,-0.135585296,-0.148732578,-0.079195022
6/1/02,-0.154485604,-0.152061629,-0.149159198,-0.159628551,-0.079397223
7/1/02,-0.100183812,-0.109958897,-0.119169181,-0.114271836,-0.013155245
8/1/02,-0.077496893,-0.101938951,-0.125489803,-0.110038284,-0.010418993
9/1/02,0.000115762,-0.023654075,-0.04708677,-0.026710247,0.037584437
10/1/02,-0.047752268,-0.058669927,-0.069475734,-0.061828717,-0.003250422
11/1/02,0.058480052,0.059345285,0.060126203,0.063633185,0.062786314
12/1/02,0.103516937,0.100303215,0.097121327,0.100959883,0.074196756
1/1/03,0.028977562,0.03670187,0.044554345,0.03375843,0.008460009
2/1/03,-0.015873277,-0.029308721,-0.042506864,-0.0314401,0.002744102
3/1/03,-0.09149813,-0.074774119,-0.057971087,-0.076057911,-0.092116664
4/1/03,-0.073919013,-0.064308146,-0.054589323,-0.069489336,-0.04303398
5/1/03,-0.150392582,-0.149033128,-0.147240234,-0.155614494,-0.076792883
6/1/03,-0.1442864,-0.145892768,-0.146941506,-0.153799695,-0.047557462
7/1/03,-0.102077351,-0.110853393,-0.119018752,-0.117390836,-0.019680275
8/1/03,-0.038568602,-0.051124039,-0.063227648,-0.050786486,0.004007996
9/1/03,-0.043452666,-0.055258598,-0.066849548,-0.057736148,-0.015636113
10/1/03,0.020566953,0.00702506,-0.006465143,0.005012963,0.044253359
11/1/03,-0.019249882,-0.018709639,-0.018007638,-0.020749705,-0.004423471
12/1/03,0.071395259,0.070200458,0.068990103,0.073554121,0.034465019
1/1/04,0.023952723,0.015445469,0.006955102,0.009980689,0.022751094
2/1/04,-0.053105583,-0.032996014,-0.012843464,-0.033282139,-0.038231518
3/1/04,-0.130835723,-0.119459292,-0.107751769,-0.126777955,-0.051676814
4/1/04,-0.161967704,-0.141046002,-0.119694377,-0.142920143,-0.089133514
5/1/04,-0.119524512,-0.121236505,-0.12258529,-0.124401176,-0.044663479
6/1/04,-0.125041754,-0.136960796,-0.14826631,-0.148158691,-0.031553838
7/1/04,-0.07878337,-0.089315346,-0.099458744,-0.094085525,-6.00E-05
8/1/04,-0.044495766,-0.055992192,-0.06716277,-0.059336943,0.006571043
9/1/04,-0.068713365,-0.081794014,-0.094412646,-0.090509917,0.011610102
10/1/04,-0.033610602,-0.027268563,-0.020736101,-0.025366139,-0.005916702
11/1/04,-0.003932402,-0.019276168,-0.034187256,-0.020648955,0.021126541
12/1/04,0.072524561,0.058100265,0.043769573,0.059579003,0.05918508
1/1/05,0.094966862,0.083836169,0.072669908,0.08378546,0.075686266
2/1/05,0.012306215,0.004550139,-0.00312212,0.004390849,0.006074297
3/1/05,-0.037389274,-0.033972028,-0.030449752,-0.030542107,-0.038742784
4/1/05,-0.093426673,-0.083051363,-0.072605478,-0.083970812,-0.057042409
5/1/05,-0.073466714,-0.06934636,-0.064829886,-0.070933106,-0.034731929
6/1/05,-0.150548861,-0.14339305,-0.135585433,-0.150539711,-0.075903125
