date,cst_90_180,cst_0_180,cst_0_90,cst_30_130,cst_180_549
10/1/04,0.000459604,0.000469444,0.00039297,0.000813229,0.001080388
11/1/04,-0.00700334,-0.001272675,0.004108425,0.000193289,-0.018867613
12/1/04,-0.007924477,-0.006185771,-0.004640558,-0.00492412,-0.012889425
1/1/05,-0.007145286,-0.005083296,-0.003178994,-0.003207461,-0.011018836
2/1/05,-0.001791007,-0.002540081,-0.003375239,-0.002193005,-0.000713513
3/1/05,0.021767022,0.021543557,0.021138825,0.021695762,0.025744771
4/1/05,0.02231958,0.020543057,0.0184864,0.021537542,0.02188956
5/1/05,0.006767612,0.013446879,0.019974684,0.015079558,0.001342125
6/1/05,0.009481203,0.014146551,0.018526995,0.01412366,-0.006795207
7/1/05,-0.014214432,-0.005158684,0.003640721,-0.004094037,-0.041196516
8/1/05,-0.013455982,-0.005617555,0.001765787,-0.004524873,-0.031541813
9/1/05,-0.004321928,0.002709626,0.009442947,0.001833557,-0.018188723
10/1/05,0.002318552,0.003680474,0.004762275,0.004165154,-0.005777303
11/1/05,0.005152109,0.0059075,0.006474485,0.007197703,-0.001069089
12/1/05,-0.00038801,-0.000224339,-0.000230245,-0.000293006,-0.005657461
1/1/06,0.013257739,0.013387196,0.013406438,0.015237887,0.012748937
2/1/06,0.014078893,0.013591525,0.012904116,0.015164051,0.006844078
3/1/06,0.014986662,0.015171779,0.015191115,0.016743695,0.016141344
4/1/06,0.006527337,0.006662,0.006648199,0.007013276,0.006998043
5/1/06,-0.000312903,0.004594393,0.009293961,0.003896343,-0.008834191
6/1/06,-0.002818948,0.005539239,0.013569231,0.008479611,-0.024166004
7/1/06,-0.015351796,-0.004999436,0.005176538,-0.00132622,-0.03798226
8/1/06,-0.00671297,0.001366764,0.009277751,0.001917833,-0.021520461
9/1/06,-0.021464593,-0.011712922,-0.002203748,-0.010453555,-0.038661921
10/1/06,-0.012690091,-0.006060997,0.000571973,-0.004803362,-0.022017116
11/1/06,0.006449886,0.008376464,0.010125647,0.009299419,0.002139903
12/1/06,-0.005451161,-0.002880446,-0.000467635,-0.001246512,-0.009758844
1/1/07,0.008654123,0.01016053,0.011484727,0.010802835,-0.000822736
2/1/07,0.015069074,0.014811852,0.014302417,0.014835214,0.01481188
3/1/07,0.023859011,0.024172664,0.024215472,0.025996572,0.025210408
4/1/07,0.025179321,0.025482947,0.025584237,0.025668714,0.017182027
5/1/07,0.006169232,0.010717657,0.015057034,0.012177173,-0.002217135
6/1/07,-0.001525236,0.004910995,0.01107012,0.005718646,-0.029624894
7/1/07,-0.001891266,0.004001209,0.009593102,0.004795968,-0.025411066
8/1/07,0.000529681,0.006856238,0.013114373,0.008291704,-0.017067994
9/1/07,-0.005832281,0.000641779,0.006813808,0.001194425,-0.017242425
10/1/07,0.010760651,0.013036533,0.015220171,0.014428953,0.006238563
11/1/07,0.00885526,0.011098557,0.013112106,0.010877649,0.002942083
12/1/07,0.007844339,0.009378514,0.010784512,0.010143911,0.00233911
1/1/08,0.000891438,0.005157375,0.009215106,0.008421488,0.000481226
2/1/08,0.010599687,0.015388609,0.020050585,0.017869068,0.00509982
3/1/08,0.022488607,0.025580169,0.028432631,0.027412396,0.019063325
4/1/08,0.018914516,0.024170081,0.029116705,0.024927582,0.010803611
5/1/08,0.003412643,0.009046862,0.014496326,0.009699916,-0.005861296
6/1/08,-0.007603305,0.000542766,0.008487965,0.002650755,-0.028383779
7/1/08,-0.011434346,-0.00322608,0.004730953,-0.000340418,-0.03282472
8/1/08,-0.012051745,-0.006034375,-0.000247761,-0.005481153,-0.020900063
9/1/08,-0.010422736,-0.006578725,-0.002903689,-0.004767042,-0.010493321
10/1/08,-0.008100876,-0.004083278,-0.000249478,-0.001049634,-0.012618704
11/1/08,-0.009624803,-0.005790613,-0.002203954,-0.003353121,-0.020773097
12/1/08,0.005649059,0.011270582,0.016626234,0.013139651,-0.007521334
1/1/09,0.007373435,0.009041111,0.010578788,0.010597692,0.00823875
2/1/09,0.003468664,0.006928251,0.010411462,0.007678398,0.00439207
3/1/09,0.016039341,0.019870041,0.023246958,0.021342839,0.02013305
4/1/09,0.014770435,0.0179321,0.020676548,0.018028974,0.016626564
5/1/09,-0.002739155,0.00290383,0.008351686,0.00314488,-0.014624381
6/1/09,0.003932126,0.011111093,0.018156555,0.01196045,-0.012097182
7/1/09,0.004015227,0.010575594,0.016927504,0.012650528,-0.011264736
8/1/09,-0.006433142,0.001115252,0.008505618,0.002740413,-0.012725885
9/1/09,-0.011287439,-0.005190919,0.000638258,-0.003071751,-0.015940595
10/1/09,-0.015257325,-0.007690258,-0.000335546,-0.006065642,-0.028104936
11/1/09,0.002182601,0.002024695,0.001753561,0.001978456,-0.001318483
12/1/09,-0.020238547,-0.015047934,-0.009971097,-0.014060317,-0.033523939
1/1/10,-0.006932504,-0.008941202,-0.011115455,-0.008140498,-0.006245279
2/1/10,-0.000320896,0.000934032,0.002128053,0.002336055,-0.005624336
3/1/10,0.030623316,0.029959179,0.029035652,0.030576415,0.042084187
4/1/10,0.008463047,0.012642236,0.016401964,0.013212835,0.003205317
5/1/10,0.019133707,0.026317587,0.03315335,0.027695072,0.01678307
6/1/10,-3.02E-05,0.007501668,0.014738455,0.008183615,-0.013959104
7/1/10,-0.003813677,0.00331886,0.010225109,0.002804082,-0.016136988
8/1/10,-0.005927991,0.003662669,0.013005707,0.006233486,-0.015140275
9/1/10,0.002102463,0.00630352,0.010315778,0.007286219,-0.008788859
10/1/10,0.002486201,0.002598593,0.002514978,0.002257761,-0.004473976
11/1/10,0.003215916,0.006139588,0.008753173,0.006403722,-0.005367455
12/1/10,-0.002405581,-0.005393147,-0.008551708,-0.005777584,-0.001435874
1/1/11,0.006934985,0.009521127,0.011942402,0.012655096,0.003420587
2/1/11,0.016341356,0.018105812,0.019724999,0.01929245,0.00972286
3/1/11,0.022781389,0.021532123,0.020226085,0.022071358,0.022602075
4/1/11,0.016681752,0.020908287,0.024902499,0.022319073,0.002705486
5/1/11,0.009582771,0.016172899,0.022388964,0.017391201,-0.010645063
6/1/11,-0.0113919,-0.001281216,0.008375521,-0.000584109,-0.024967231
7/1/11,-0.008216914,0.002368228,0.012593711,0.00421349,-0.028349429
8/1/11,-0.000612644,0.006550071,0.013337887,0.008156103,-0.023241441
9/1/11,-0.0018513,0.001773803,0.004955016,0.001703284,-0.011319461
10/1/11,0.004365201,0.004026143,0.00339296,0.002810878,0.001804746
11/1/11,0.00782284,0.007202458,0.006365476,0.007502181,0.01032724
12/1/11,0.000518863,0.003771463,0.006896579,0.005537155,-0.00358517
1/1/12,0.009547215,0.010526001,0.011388906,0.011818215,0.004066034
2/1/12,0.015563613,0.016266126,0.016789645,0.017698887,0.011764839
3/1/12,0.013580151,0.011250711,0.00882983,0.011213608,0.01592857
4/1/12,0.016648126,0.018381465,0.020102789,0.019853288,0.014126047
5/1/12,0.008336535,0.013825334,0.019182494,0.014265677,-0.00481966
6/1/12,-0.005077759,0.003267442,0.011447841,0.00378124,-0.025188899
7/1/12,-0.004070145,0.003936772,0.011711675,0.004802275,-0.012277739
8/1/12,-0.015519169,-0.007495469,0.000242266,-0.006495228,-0.029264235
9/1/12,-0.017616463,-0.01450727,-0.011785928,-0.015356688,-0.033013082
10/1/12,-0.01282556,-0.009331848,-0.006173078,-0.009555452,-0.018122381
11/1/12,-0.007350833,-0.008926186,-0.010959394,-0.007905235,-0.003238125
12/1/12,-0.002052575,0.001600435,0.004955566,0.001266358,0.002967631
1/1/13,0.01256227,0.012518599,0.012387369,0.013833318,0.014114748
2/1/13,0.014506456,0.017184006,0.019688113,0.018360638,0.004060452
3/1/13,0.020971225,0.020557831,0.020018782,0.021035425,0.009587817
4/1/13,0.008783184,0.012916856,0.016874819,0.013633776,-0.001627593
5/1/13,0.007680411,0.013251918,0.018632501,0.015096685,-0.010326424
6/1/13,0.002595693,0.008429501,0.014052321,0.011585833,-0.01517576
7/1/13,-0.012466422,-0.005769777,0.000690393,-0.004329681,-0.029714741
8/1/13,-0.00279111,0.003351474,0.009291488,0.004297276,-0.010644564
9/1/13,-0.004979086,0.000669124,0.006222122,0.001514073,-0.015218597
10/1/13,-0.013646025,-0.00760874,-0.001650665,-0.005956193,-0.023497324
11/1/13,-0.008180876,-0.005887835,-0.003721019,-0.006455646,-0.014704245
12/1/13,-0.013908557,-0.008698507,-0.003698352,-0.008267564,-0.025583682
1/1/14,-0.000177295,0.002443237,0.004917718,0.004169504,-0.014109711
2/1/14,0.011585182,0.014136667,0.016495175,0.015662308,0.002296727
3/1/14,0.013674208,0.013618319,0.013210194,0.013881219,0.013436176
4/1/14,0.004264736,0.008395337,0.012150186,0.008583895,-0.00337707
5/1/14,-0.002281136,0.004202714,0.010381308,0.005163571,-0.013778457
6/1/14,-0.00669533,-5.25E-05,0.006346037,-0.000106404,-0.01852211
7/1/14,-0.024146074,-0.015921732,-0.007730394,-0.014115178,-0.040939772
8/1/14,-0.014192106,-0.008103807,-0.002230812,-0.007085318,-0.022315789
9/1/14,-0.027265453,-0.020542885,-0.013678722,-0.017692362,-0.042127931
10/1/14,-0.016957445,-0.014781235,-0.012755954,-0.013848052,-0.026763719
11/1/14,-0.003014986,0.001131404,0.005156344,0.003319466,-0.005323167
12/1/14,-0.012742322,-0.008736425,-0.004897592,-0.005697169,-0.009083448
1/1/15,0.013444268,0.013269068,0.012837488,0.015644692,0.005730791
2/1/15,0.016930296,0.015671391,0.014296716,0.016524688,0.017653588
3/1/15,0.0172381,0.017675939,0.01779113,0.017962478,0.016239132
4/1/15,0.012402684,0.016732471,0.020655941,0.015375609,0.008329595
5/1/15,-0.006775674,-0.00025406,0.006103977,-0.002188601,-0.018195938
6/1/15,-0.017943905,-0.008275591,0.001133299,-0.007315743,-0.034027355
7/1/15,-0.02075803,-0.00988839,0.00087757,-0.00612768,-0.042809907
8/1/15,-0.003847647,0.002757049,0.009309416,0.004398025,-0.01301639
9/1/15,-0.031052945,-0.024644036,-0.018393945,-0.022771169,-0.044747291
10/1/15,-0.014227868,-0.009325649,-0.004615006,-0.007961617,-0.023471096
11/1/15,-0.002584392,0.002714964,0.007791939,0.004609747,-0.006032913
12/1/15,-0.005278551,0.001103543,0.007468071,0.003461374,-0.014270211
1/1/16,0.002432247,0.000103938,-0.002202306,0.001154734,0.005579004
2/1/16,0.004699465,0.00591828,0.007045153,0.007526159,0.005894059
3/1/16,0.014393243,0.016134533,0.017745177,0.016410944,0.015286799
4/1/16,0.013730986,0.01425011,0.01459043,0.013049612,0.014096643
5/1/16,0.001687235,0.008021393,0.014252893,0.007956235,-0.00419005
6/1/16,-0.002516519,0.004170444,0.010633533,0.00386334,-0.007912895
7/1/16,-0.013985594,-0.00442106,0.004823202,-0.0031812,-0.025274708
8/1/16,-0.012376913,-0.001544884,0.008932451,-0.001768475,-0.027788202
9/1/16,-0.007982771,-0.0005563,0.006601079,0.000525008,-0.023945969
10/1/16,0.003863358,0.002471478,0.000793564,0.000962695,-0.00020928
11/1/16,-0.004858155,-0.003755311,-0.002888096,-0.004268024,-0.006913052
12/1/16,0.003759792,0.005875988,0.007822437,0.007108154,-0.006593595
1/1/17,-0.001758828,-0.000521654,0.000605905,0.000249074,-0.006992825
2/1/17,-0.004412815,-0.000300519,0.003603423,-9.48E-05,0.00523273
3/1/17,0.013875207,0.017498473,0.020908716,0.019382108,0.009553875
4/1/17,0.022215394,0.024107194,0.02588695,0.025315846,0.012690536
5/1/17,0.00798346,0.015917737,0.023575634,0.016853362,-0.00629524
6/1/17,-0.003391282,0.006980392,0.016868363,0.010436428,-0.025420959
7/1/17,-0.007007405,0.001853014,0.01039429,0.003507263,-0.027958685
8/1/17,-0.004002273,0.005882256,0.015333988,0.007111579,-0.01759183
9/1/17,0.002478346,0.008829136,0.014885243,0.010441865,-0.002303579
10/1/17,-0.001751662,-0.000585367,0.000419484,-0.001290172,-0.005318674
11/1/17,0.004438104,0.002243523,2.25299822165304e-05,0.001401959,0.006932065
12/1/17,0.000964616,0.003884597,0.006572229,0.006586626,0.000594216
1/1/18,0.003308457,0.003144114,0.002692745,0.003634111,0.003131488
2/1/18,0.009350764,0.014085249,0.018644659,0.01563447,0.002471566
3/1/18,0.012665354,0.012522249,0.012243534,0.012274606,0.014730155
4/1/18,0.01684506,0.020447109,0.023729292,0.020988448,0.016548152
5/1/18,0.011355104,0.020087974,0.028648933,0.021034718,-0.000655929
6/1/18,-0.002588664,0.008364066,0.01896633,0.009414142,-0.019034012
7/1/18,-0.012611262,-6.97E-05,0.012047771,0.002255858,-0.032174509
8/1/18,-0.005838276,0.003692115,0.012976789,0.00479923,-0.015973131
9/1/18,0.003920688,0.00961222,0.01525424,0.010294954,-0.005926685
10/1/18,-0.010801995,-0.007374621,-0.003998248,-0.006779644,-0.01925087
11/1/18,-0.008638964,-0.007998353,-0.007418203,-0.007060688,-0.012619838
12/1/18,-0.002787803,-0.000146471,0.002347652,0.001590899,-0.005857031
1/1/19,-0.01793667,-0.018294644,-0.018716783,-0.017268866,-0.016050453
2/1/19,0.001242239,0.001280941,0.001263259,0.002793751,0.002621583
3/1/19,-0.000611404,-0.001317343,-0.002233284,-0.001258746,0.001033332
4/1/19,0.003110214,0.004348944,0.00538446,0.005046945,0.002113539
5/1/19,7.5383267861022e-05,0.004129978,0.008113198,0.003482144,-0.005608817
6/1/19,-0.023053154,-0.017814317,-0.012714397,-0.018924031,-0.039574867
7/1/19,-0.016281201,-0.012852489,-0.009624149,-0.013812657,-0.033564597
8/1/19,-0.019934947,-0.013732417,-0.007728883,-0.011446426,-0.031357717
9/1/19,-0.021967677,-0.016826249,-0.011793415,-0.015535895,-0.034087389
10/1/19,-0.014310349,-0.010729022,-0.007210281,-0.00986776,-0.016257919
11/1/19,-0.032143453,-0.025640714,-0.019359368,-0.024155131,-0.041940341
12/1/19,-0.012619324,-0.011726147,-0.010799623,-0.010788372,-0.013865173
1/1/20,-0.011607783,-0.009166022,-0.006820059,-0.006350764,-0.014411107
2/1/20,-0.00995383,-0.006033583,-0.002319627,-0.004692336,-0.019733957
3/1/20,-0.0002205,-0.000493965,-0.000980947,-0.002180064,0.001322023
4/1/20,0.003926821,0.005402963,0.006793751,0.00429347,0.002227028
5/1/20,0.008287336,0.009720566,0.011034334,0.010548432,-0.001885473
6/1/20,-0.002977088,-0.000457666,0.001862845,0.000990098,-0.014797677
7/1/20,-0.012180461,-0.005979892,0.000121305,-0.004560921,-0.033996952
8/1/20,-0.014267007,-0.009775704,-0.005447516,-0.006638116,-0.028950179
9/1/20,-0.01457171,-0.012298496,-0.010146803,-0.010684142,-0.022211875
10/1/20,-0.009889265,-0.007945385,-0.006178023,-0.008382069,-0.012533077
11/1/20,-0.005023185,-0.00425365,-0.00356695,-0.003902161,-0.007174107
12/1/20,-0.01376165,-0.011871068,-0.010009838,-0.010979921,-0.010971371
1/1/21,-0.011652227,-0.010425369,-0.009221563,-0.008524902,-0.018672445
2/1/21,-0.00107838,0.000190863,0.001513012,0.001540551,-0.002369013
3/1/21,0.002432454,-0.000241799,-0.002954519,-0.001256625,-0.00130673
4/1/21,-0.004885924,-0.000745958,0.003295834,-0.002154619,-0.00959662
5/1/21,-0.013305353,-0.007971043,-0.00283603,-0.007933018,-0.021158849
