year,DDpre,DDegg,DDlarv,DDpjuv,DDben,Tcop,Tpart,MLDpart,MLDlarv,MLDpjuv,CSTlarv,CSTpjuv,LSTlarv,LSTpjuv,hci1_larv,hci1_pjuv,hci2_larv,hci2_pjuv,oni_pre,oni_larv,oni_pjuv,pdo_larv,pdo_pjuv,beuti_larv,beuti_pjuv,lusi_annual
2007,31426.7859681171,32604.4236487707,26075.9404390755,39124.4780809998,33519.4237820031,10.27511161393,9.44239173553365,13.9778762807156,11.5735190557675,10.8473994313289,0.019258944767953,0.011330441116315,-0.0357706054848928,-0.124299458590924,0.809225512528474,0.476537585421412,0.809225512528474,0.476537585421412,0.483333333333333,0.05,-0.508,-0.185,0.468,-0.908,1.9622,155
2008,29785.7007164595,29493.4481690378,22669.658467152,33942.0712190419,34894.1464420169,10.4418494993121,8.62201564945604,13.7787406540751,11.5526877438628,11.0446545483701,0.0242416083197701,0.00629133662335347,-0.0782792211543572,-0.112683188498721,1,0.843507972665148,1,0.843507972665148,-1.25888888888889,-1.405,-0.612,-0.82,-1.17,-0.1665,5.117,180
2009,29920.2724632977,31043.5491838605,23992.1734844926,36088.9736589421,37006.0482805162,10.4517999362149,8.88597897398824,12.7962210907114,11.7146096590975,10.9581582339477,0.0168292098260465,0.00970504911768761,-0.0257993367853386,-0.106311273876078,1,0.634851936218679,1,0.634851936218679,-0.524444444444444,-0.7,0.198,-1.365,-0.542,0.9795,3.9174,202
2010,33602.9069138394,32798.4926234232,32298.9406758762,38629.068575125,36684.4522648321,10.7802218113405,10.4540244573266,16.2051496953878,12.958353999322,11.5222338844164,0.0155818524722018,0.0116258176608098,-0.0039808005773683,-0.125645317789317,0.170842824601367,0.795216400911162,0.170842824601367,0.795216400911162,1.02555555555556,1.03,-0.576,0.84,-0.292,-1.3915,2.3924,104
2011,31515.8178652229,34225.6601512005,24896.3476398525,36888.592892518,35536.5932053809,10.4163315203308,9.37267281228977,14.6134703455106,12.3217848913629,11.0084784168664,0.0199755424492761,0.0102991514676462,-0.0196815880014235,-0.124974182437068,0.836560364464692,0.583826879271071,0.836560364464692,0.583826879271071,-1.37444444444444,-1.06,-0.564,-0.845,-1.134,-3.347,1.9692,142
2012,30198.3687802306,29778.91212266,22444.9427106548,37789.0600450863,36486.6310204315,10.7877752448978,8.94648426415729,13.6355582339005,11.6540327152765,10.9921583575414,0.0128097373584712,0.0072414501904167,-0.016805924265158,-0.104079785258502,1,0.593394077448747,1,0.593394077448747,-0.804444444444444,-0.655,-0.024,-0.945,-1.176,-7.1345,1.3008,162
2013,31546.9369744812,37471.7320748008,23382.5690556349,37210.4327873303,36154.5946907065,10.1308135980958,9.14389768606013,13.2344756541257,11.1733789479538,10.9550030224782,0.0198534478047947,0.00805677775192044,-0.0835890846155901,-0.0991251082400997,0.930523917995444,0.387015945330296,0.930523917995444,0.387015945330296,-0.0111111111111111,-0.385,-0.358,-0.77,-0.71,-1.106,2.0094,162
2014,31463.5148596885,27352.8552534269,26796.6236350682,40167.3454747112,45694.9926331788,11.3109030979381,9.50572109886237,11.9811706847322,11.0960602749333,10.8367913927677,0.0148526847093372,-0.00151188684929062,-0.00463732975427562,-0.0896731240616116,0.639521640091116,0.159908883826879,0.639521640091116,0.159908883826879,-0.305555555555556,-0.365,0.106,0.225,0.59,-4.6,1.1254,134
2015,40370.6012189978,45986.1365772067,36565.0252164505,42309.3007996025,43221.8736948446,11.6380959401839,11.3981402051851,13.3649680588772,11.5709630665768,10.8691051102312,0.0160439231745512,0.000828322259095,-0.0465093360481825,-0.101282423776278,0,0.193621867881549,0,0.193621867881549,0.41,0.5,1.238,1.695,1.172,-0.4245,2.4416,176
2016,39675.0133351982,40822.543426767,35955.2635818884,43106.4094728788,42503.4527732243,11.8648778540628,11.2919452187283,16.0818027454746,13.2154865119126,10.7909864262623,0.012395165078996,0.00398390242588004,-0.00653582420086917,-0.121173815162607,0.0011389521640091,0.149886104783599,0.0011389521640091,0.149886104783599,2.15222222222222,1.86,0.072,2.13,1.226,-2.157,2.1852,161
2017,37167.3864209049,43988.7334220522,30427.8621545284,42975.9445731758,39535.6400675807,11.122524633627,10.3469456762024,15.0760897385374,12.1556455939634,11.5296867115081,0.012256069914397,0.01264489555601,0.00123193668004105,-0.121873625843347,0.355353075170843,0.252391799544419,0.355353075170843,0.252391799544419,-0.433333333333333,-0.055,0.168,0.745,0.5,-2.8405,2.0138,167
2018,34916.9875148951,36333.2245870692,28075.9824637867,41540.5574891081,38975.4669931324,11.0926877843875,10.128719594099,13.9417194983099,11.3833534599749,11.0222416668971,0.0154440967425211,0.0116984792250815,-0.0742964629413389,-0.123552606017481,0.407175398633258,0.21002277904328,0.407175398633258,0.21002277904328,-0.586666666666667,-0.775,-0.082,-0.065,-0.132,0.469,1.7924,188
2019,35490.3060921808,35936.9281816682,29921.0226052881,44875.9755566694,39158.0445962788,11.1063028346384,10.5394828360413,14.7346697543522,12.1234401301598,10.704054910258,-0.000485012818386955,-0.00713080496197234,-0.0046043590485929,-0.0605515391679848,0.338838268792711,0.224601366742597,0.338838268792711,0.224601366742597,0.606666666666667,0.715,0.414,0.105,0.49,0.22,2.4452,
2020,35511.3878138384,32409.5095415461,26988.106438227,42036.2926789413,38195.7744343212,11.9067711634351,9.8072671269642,12.9503364472506,10.6987317552294,10.6476419051913,-0.00165028685287577,0.00092659262071187,-0.0399473413496777,-0.0664421932623467,0.67369020501139,0.279043280182232,0.67369020501139,0.279043280182232,0.377777777777778,0.44,-0.234,-0.88,-0.642,1.0145,3.0948,
2021,33581.6438895284,33121.8670256972,25187.3022078662,37935.7102914615,38964.4969958393,11.2080536879715,9.43849433568838,12.472489035716,10.766337669325,10.661840356804,-0.000720753364018455,-0.0119805783421629,-0.043598125769853,-0.0576580821689296,0.76879271070615,0.468564920273349,0.76879271070615,0.468564920273349,-0.924444444444445,-0.885,-0.482,-0.88,-1.228,-1.2655,5.2972,
2022,33939.6996854953,37778.6062256877,25095.0329064174,39642.2963780993,34974.0362831311,10.9479144553709,9.43461865076058,12.8390157273384,10.8312597947704,10.6855044428252,-0.00183097318891413,-0.00625378792813792,-0.048922310881367,-0.0607020601755648,,,,,-0.802222222222222,-0.96,-0.924,-1.285,-1.772,-0.2185,1.4818,
2023,31851.9438292781,30499.002837008,23532.3921857323,39950.0267976457,41952.9302458239,10.6761961831016,9.39018399841944,14.7270557450983,11.4757524692209,10.8273257583592,-0.00102040899639533,-0.00799975332165387,-0.0140515652502171,-0.0486508102521085,,,,,-0.747777777777778,-0.29,0.76,-1.36,-1.858,0.00750000000000001,2.7218,
2024,38862.3894507702,40009.8234928835,,,,11.589703304412,,,,,,,,,,,,,1.55777777777778,1.315,0.55,-0.495,-1.85333333333333,,,
