(Intercept),BeutiSTIpjuv,BeutiTUMIpjuv,CSTlarv,CSTpjuv,CutiSTIpjuv,I(CutiSTIpjuv^2),CutiTUMIpjuv,DDben,DDegg,DDlarv,DDpjuv,DDpre,HCIlarv,HCIpjuv,LSTlarv,I(LSTlarv^2),LSTpjuv,MLDlarv,MLDpart,MLDpjuv,ONIlarv,I(ONIlarv^2),ONIpjuv,ONIpre,I(ONIpre^2),PDOlarv,PDOpjuv,Tcop,Tpart,R2,F,df,logLik,AICc,delta,weight
-4.18537445735728,,,,,-0.252736323167107,-0.331261157137192,,,,,,,,,,,,,,0.402801145675922,,,,,,,,,,0.395722824942675,3.71092841812054,5,-7.81052121517523,29.6210424303505,2.50269613049405,0.00753555691445641
-0.403511812460042,,,,,-0.204485478974669,-0.259165649026372,,,,,,,,,,,,,0.0399138729991711,,,,,,,,,,,0.394347151510318,3.68962824847763,5,-7.83439793032898,29.668795860658,2.55044956080154,0.00735776357548881
0.90168090090144,,,,,-0.239319327548204,-0.327652482873395,,,,,,,,,,,5.84137043259104,,,,,,,,,,,,,0.392752826598609,3.6650633353452,5,-7.86200188929081,29.7240037785816,2.60565747872521,0.00715743778432735
-0.249802616081768,,,,,,,,,,,,,,,,,,,,,-0.00728418748879195,0.321518924392771,,,,,,,,0.276373222697116,3.43735069277698,4,-9.70307026586324,29.9061405317265,2.78779423187007,0.00653442064518822
0.196578792625486,,-0.0861061455287291,,,-0.262228753238935,-0.284839030858872,,,,,,,,,,,,,,,,,,,,,,,,0.386678711323927,3.57264520998259,5,-7.96650850054099,29.933017001082,2.81467070122556,0.00644719694595702
-1.27654724800723,,,,,,,,,,,,,,,,,,,0.0841077766177243,,,,,,,,,,,0.155648668873352,3.50248125344651,3,-11.3231459109623,30.058056527807,2.93971022795058,0.00605646133233951
-0.575778658075533,,,,,-0.248529522640155,-0.294326944981004,,,,,1.98211051390511e-05,,,,,,,,,,,,,,,,,,,0.379855924731584,3.47099487466785,5,-8.0826690218827,30.1653380437654,3.04699174390898,0.00574014764993402
0.266997124328906,,,,,-0.232395432218154,-0.283428473366243,,,,,,,,,2.04702485032866,,,,,,,,,,,,,,,0.37838043080722,3.44930546082806,5,-8.10762174709122,30.2152434941824,3.09689719432602,0.00559868757001807
-0.321034352860818,,,,,-0.227186658812579,-0.296306056308703,,1.43582539453036e-05,,,,,,,,,,,,,,,,,,,,,,0.376516275792678,3.42204960074047,5,-8.13906274059225,30.2781254811845,3.15977918132809,0.00542539774763925
0.220351071866454,,,,,-0.213426161417339,-0.312703521171041,,,,,,,,,,,,,,,-0.0512079182936555,,,,,,,,,0.373323292468505,3.37574164141916,5,-8.19269809322824,30.3853961864565,3.26704988660006,0.00514207071736552
0.172759026839988,,,,,,,,,,,,,,,21.1016499898921,256.013748279176,,,,,,,,,,,,,,0.259102793854701,3.14743411818858,4,-9.95072467302967,30.4014493460593,3.28310304620292,0.00510096267559878
0.222361519451859,,,,,-0.214768820876685,-0.310401085500901,,,,,,,,,,,,,,,,,,-0.0414547010219338,,,,,,0.37239270652031,3.36233399272425,5,-8.20827854269746,30.4165570853949,3.29821078553849,0.0050625758354929
