"","Yr","SpawnBio","exp_recr","with_regime","bias_adjusted","pred_recr","dev","biasadjuster","era","mature_bio","mature_num","raw_dev"
"3780",2004,7.66243,34068.8,34068.8,30806.3,33622.5,0.0874778,0.8053,"Main",23170.3,17079.3,0.0874778
"3781",2005,8.06954,34362.8,34362.8,31072.2,16567.3,-0.628881,0.8053,"Main",24185.9,17587.7,-0.628881
"3782",2006,8.39402,34580.2,34580.2,31268.7,48454,0.437996,0.8053,"Main",25021,18038.1,0.437996
"3783",2007,8.78547,34824.6,34824.6,31489.7,21434.2,-0.384673,0.8053,"Main",26099.8,18708.6,-0.384673
"3784",2008,9.22778,35079.6,35079.6,31720.3,70643.1,0.800683,0.8053,"Main",27342.5,19445.1,0.800683
"3785",2009,9.67833,35319,35319,31936.8,16939.8,-0.634091,0.8053,"Main",28582.4,20153.3,-0.634091
"3786",2010,10.0638,35509.4,35509.4,32108.9,44896.4,0.335224,0.8053,"Main",29570.8,20574.5,0.335224
"3787",2011,10.33,35633.7,35633.7,32221.3,27190.8,-0.169749,0.8053,"Main",30156,20713.6,-0.169749
"3788",2012,10.4156,35672.5,35672.5,32256.4,32651.7,0.0121801,0.8053,"Main",30213.5,20545,0.0121801
"3789",2013,10.3694,35651.6,35651.6,32237.5,36362.5,0.120408,0.8053,"Main",29946.3,20285.1,0.120408
"3790",2014,10.302,35620.8,35620.8,32209.7,37409.4,0.149653,0.8053,"Main",29707.2,20171.8,0.149653
"3791",2015,10.2732,35607.6,35607.6,32197.8,31195,-0.0316403,0.8053,"Main",29653.8,20255.8,-0.0316403
"3792",2016,10.241,35592.7,35592.7,32476.5,29882.2,-0.0832557,0.732987,"Main",29649.6,20403,-0.0832557
"3793",2017,10.3609,35647.7,35647.7,32862.6,22829.4,-0.364285,0.650814,"Main",30083.6,20785.4,-0.364285
"3794",2018,10.3116,35625.3,35625.3,33180.9,21577.3,-0.430334,0.56864,"Main",30020.1,20792.6,-0.430334
"3795",2019,10.2125,35579.5,35579.5,33480.4,33110.2,-0.0111178,0.486467,"Late",29767.9,20606.8,-0.0111178
"3796",2020,10.0655,35510.2,35510.2,33760.2,27986.2,-0.187572,0.404293,"Late",29343.6,20283.1,-0.187572
"3797",2021,9.89618,35428.1,35428.1,34030,29548.1,-0.141222,0.32212,"Late",28839.8,19897.4,-0.141222
"3798",2022,9.81865,35389.8,35389.8,34344.1,32454.8,-0.056581,0.239947,"Late",28590.2,19668.3,-0.056581
"3799",2023,9.70489,35332.6,35332.6,34642.6,33972.4,-0.0195338,0.157773,"Late",28232.5,19367.6,-0.0195338
"3800",2024,9.53617,35245.6,35245.6,34914.1,34914.1,0,0.0755996,"Late",27707.7,18954.6,0
"3801",2025,9.42049,35184.4,35184.4,35184.4,35184.4,-1.11022e-16,0,"Fore",27314.2,18615.7,0
"3802",2026,9.06901,34990.5,34990.5,34990.5,34990.5,0,0,"Fore",26259.5,17901,0
"3803",2027,8.68483,34763.5,34763.5,34763.5,34763.5,0,0,"Fore",25139.2,17206.6,0
"3804",2028,8.19036,34445.4,34445.4,34445.4,34445.4,0,0,"Fore",23756.4,16428,0
"3805",2029,7.77355,34151.5,34151.5,34151.5,34151.5,0,0,"Fore",22641.5,15876.7,0
"3806",2030,7.4485,33903.8,33903.8,33903.8,33903.8,0,0,"Fore",21820.4,15540.5,0
"3807",2031,7.21533,33715,33715,33715,33715,0,0,"Fore",21277.4,15384.5,0
"3808",2032,7.06738,33589.9,33589.9,33589.9,33589.9,0,0,"Fore",20979.4,15368.9,0
"3809",2033,6.99149,33524.2,33524.2,33524.2,33524.2,0,0,"Fore",20876.6,15447.7,0
"3810",2034,6.97057,33505.8,33505.8,33505.8,33505.8,0,0,"Fore",20910.6,15574.9,0
"3811",2035,6.98609,33519.4,33519.4,33519.4,33519.4,0,0,"Fore",21023.5,15713.2,0
"3812",2036,7.02025,33549.2,33549.2,33549.2,33549.2,0,0,"Fore",21164.7,15835.6,0
