year,DDpre,DDegg,DDlarv,DDpjuv,DDben,Tcop,Tpart,MLDpart,MLDlarv,MLDpjuv,CSTlarv,CSTpjuv,LSTlarv,LSTpjuv,hci1_larv,hci1_pjuv,hci2_larv,hci2_pjuv,oni_pre,oni_larv,oni_pjuv,pdo_larv,pdo_pjuv,lusi_annual,ZOOpjuvN,ZOObenN,ZOOpjuvS,ZOObenS,X,CutiSTIpjuv,CutiTUMIpjuv,Year,BeutiTUMIpjuv,Year.1,BeutiSTIpjuv,CHLpjuv,PPpjuv,bakun_sti
2004,-0.171152595140577,-0.207031056620476,-0.083592487682262,0.451175670539471,-0.225746452921008,-0.218499785240541,0.0101687258026293,0.134690753062827,-0.417856111314069,-1.49218077955518,1.1048614739835,0.0837557219869006,-0.990036912749773,-0.0202203065929797,-0.412310570127542,-1.31876107942454,-0.412310570127542,-1.31876107942454,0.34793407720913,0.442375084305499,0.716917001906404,0.0813395961086028,0.231320066279072,0.544559502458671,0.632205669653651,-0.778248367508517,0.631092020194508,0.285835314562953,-0.271746488194703,-0.83688768032347,0.847692411158296,-0.271746488194703,-0.725018963770029,-0.271746488194703,-0.696166594653775,0.100073886279511,0.499467796403675,-0.12423761450214
2005,0.178859050314524,-0.653518791878952,0.755423001688743,1.55810058775516,-0.437400012561671,0.538979031614929,0.625413719297014,-0.465787763214153,-0.780938008220737,1.77086566944239,-1.81054013971894,-0.0699168582088719,0.524842997901884,0.885699835429728,-0.79618592852215,-0.799337423061467,-0.79618592852215,-0.799337423061467,0.704423910415207,0.730471563983455,0.298867435485155,0.434087844538768,0.634838018039899,-1.22960377017929,-1.89026718121564,0.391101142187259,1.92290740640304,0.842260030770208,-0.135873244097351,1.62523964495251,0.541197451278611,-0.135873244097351,-0.834037240317789,-0.135873244097351,0.382325418752538,-0.178543191876018,-0.229176856935976,1.5104678394734
2006,0.0087933730647028,-0.0818130105829565,-0.157323516485886,0.0237711881772399,-0.65695065793868,-0.556593952707323,0.307438986767208,0.757016761707487,0.507628420707817,0.464217489589242,-0.49341622678066,-1.18019372826443,0.265670773105004,1.27478644468989,0.04739201955489,0.0967163014763131,0.04739201955489,0.0967163014763131,-0.429330641092642,-0.662974674458905,0.00623273899028044,0.096902018833463,0.287993935908401,1.16008553582286,-0.172528453005827,0.176457346039391,-0.0515632911008989,0.552374671809161,0,0.282261103892882,2.88279730096423,0,0.511371547968523,0,0.665429572271695,1.11583351519116,0.854760490447456,-0.287708159899694
2007,-0.695510682302024,-0.382988764738365,-0.581309251621327,-0.31778997746502,-1.25412538527149,-0.941074200396498,-0.669483775386622,-0.329134975987012,-0.403403534414249,-0.698756554115096,0.835310426930096,0.658718342086947,-0.136117325979682,-0.83188443738393,0.840418480106714,0.389011901459225,0.840418480106714,0.389011901459225,0.570009711009637,0.183676204594681,-0.905875405928808,-0.541157312885807,0.428545132589139,-0.324418426996655,0.498314412363398,0.154797217694101,-0.800813307121656,-0.868138688588923,0.135873244097351,0.576773941844553,-0.687393759175533,0.135873244097351,-0.138243196160535,0.135873244097351,0.773278773612326,0.724885245364094,1.37007461409928,0.148213294493781
2008,-1.18252714688139,-1.01588241284239,-1.35876101344033,-1.97236968700977,-0.858462728067078,-0.674970637476877,-1.66503283977222,-0.4273908927374,-0.420351517904679,0.165194248702509,2.1057344970515,-0.604729450321628,-1.61607505021802,0.0644501173862186,1.36962936513632,1.93290767710667,1.36962936513632,1.93290767710667,-1.26269867740717,-1.52726411349277,-1.10349883732794,-1.19996654157156,-1.4280908364677,0.580766916185976,1.02732704192267,0.592099966089582,-1.05081674827808,-0.4965400239185,0.271746488194703,-1.47303541029909,0.486829178920465,0.271746488194703,2.3811179981609,0.271746488194703,-1.57244135554641,0.720284243829312,0.660504449679182,-1.43200197768256
2009,-1.14259097882362,-0.700531458660856,-1.05690942315971,-1.28693118143371,-0.250630531986198,-0.659090342301128,-1.34470604668164,-0.912177883204969,-0.288614758023751,-0.213647935298677,0.215803772947863,0.251186032835307,0.211037142907441,0.556119705026892,1.36962936513632,1.05506253092848,1.36962936513632,1.05506253092848,-0.490109235606465,-0.698251794419471,0.435683657223018,-1.76540123390814,-0.71626703392332,1.37733001818669,0.8356679960746,-0.0325355567102272,-1.02429140865156,-1.03650856636883,0.407619732292055,-1.87357286991335,-0.303992748954536,0.407619732292055,1.16285206080324,0.407619732292055,-2.03080046124409,1.65841195971681,1.05685919765618,-1.70445288667849
2010,-0.0497144152042325,-0.343507572454067,0.839031911383536,-0.475958670099853,-0.343189953468545,-0.134948925503135,0.558160504118161,0.769828563282237,0.723273279572389,2.25692734691914,-0.102233556293107,0.732777812608409,0.97065989808165,-0.935733613175786,-0.930463317261004,1.72973827646281,-0.930463317261004,1.72973827646281,1.14039344413936,1.33606212330651,-1.03509072645901,0.522274906646309,-0.432897685776671,-2.17099652708922,0.0743836754580589,0.828599874796163,0.730783419269271,-0.330681638667255,0.543492976389406,0.329383157965149,-0.96699865617968,0.543492976389406,0.128832065457653,0.543492976389406,0.490174620093168,-0.290561869999874,-0.458276951808494,2.1643500210636
2011,-0.669089142252045,-0.0531660802221981,-0.850540192493056,-1.03163787960025,-0.673558382527403,-0.715695785650104,-0.754089616735098,-0.0155252060742646,0.205372100634886,0.00674767703931024,1.01802048001492,0.400144563768401,0.424029492364255,-0.88394746932453,0.916245711394538,0.840392975531198,0.916245711394538,0.840392975531198,-1.38425586643482,-1.12157723394626,-1.01228802283604,-1.22590391277966,-1.38728565033458,-0.795114805451623,1.17234793018752,0.736474061325085,-0.738276668203183,-0.33462512768232,0.679366220486758,0.152675455194146,-1.09911990999334,0.679366220486758,0.389335566141031,0.679366220486758,0.287957367579486,-0.345538250907233,-0.259143723277049,0.202703476292966
2012,-1.06006175922314,-0.957807920139625,-1.41005026753421,-0.744147005370944,-0.400125422418418,-0.122894103206146,-1.27128120411585,-0.498038823963364,-0.337899071748581,-0.0647319852777408,-0.809036578641416,-0.366508668828725,0.52414710614808,0.728305808817629,1.36962936513632,0.880643517168189,1.36962936513632,0.880643517168189,-0.784651655173453,-0.645336114478622,0.0138336401979395,-1.32965339761206,-1.43489170082322,-0.0709665309055186,0.936369415157854,-0.0964237127075509,-0.641332377817226,-0.0437019494683363,0.815239464584109,1.11867756367563,-0.535487253499826,0.815239464584109,0.354896732556155,0.815239464584109,1.39341168132095,-1.00259583437198,-1.19708470076473,0.529644567088072
2013,-0.659854083605137,0.607211449322318,-1.19604588961275,-0.928884511585551,-0.495689698969947,-1.17136509278646,-1.03171455808177,-0.695937802793249,-0.728950336339102,-0.227467320912455,0.986890183612318,-0.16208274688612,-1.80094049805777,1.11061855205619,1.17690181894643,0.0123818332845223,1.17690181894643,0.0123818332845223,0.0498852002663454,-0.327842034833527,-0.620841610641593,-1.14809179915536,-0.906691235877867,-0.0709665309055186,1.08632366507577,0.183546798727394,-0.974386125399687,-0.104497477066998,0.951112708681461,-1.64974311307009,0.00781905625311883,0.951112708681461,0.215478210208197,0.951112708681461,-1.77465860806008,-0.02063954081377,-0.655039656592066,-0.778119796092353
2014,-0.684610837305856,-1.45136243150994,-0.416820103413852,0.0151648202473388,2.2501581079057,0.711986258981717,-0.592631842045639,-1.31433357476789,-0.791855420698971,-0.745218330241303,-0.288148695527832,-2.5612209122594,0.94780252779782,1.83995247403527,0.369657752528141,-0.943089357479292,0.369657752528141,-0.943089357479292,-0.259851867929098,-0.304323954859817,0.260862929446859,-0.11578442507296,0.566829374484703,-1.08477411527007,0.828029255965867,-1.13890536298795,-0.604023694303241,1.19887481427344,1.08698595277881,0.883067293314293,-0.128678008317186,1.08698595277881,-0.600046797229037,1.08698595277881,0.665429572271695,0.476008530283921,0.617115708513241,0.856585657883179
2015,1.95869956029092,2.33937313385528,1.81272550728284,0.699023867445193,1.53836303883496,1.23416621325427,1.70387107028333,-0.631551277869654,-0.405483046008289,-0.603688602357445,0.0155800358334801,-1.97446356609614,-0.509991350458058,0.94415578464121,-1.4043835128099,-0.801254115520371,-1.4043835128099,-0.801254115520371,0.492867648742092,0.712833004003172,2.41191797121438,1.40933300196334,1.2265132169701,0.435937261276755,-0.498667926728833,-2.32614652818945,1.22301648515067,2.45093019294411,1.22285919687616,0.588554455362621,0.368917547133777,1.22285919687616,0.654513075018163,1.22285919687616,0.0857401150658016,0.403205533578111,0.0837131062097178,-0.614649250694801
2016,1.7522735067549,1.288897060352,1.67355316016613,0.9535156263589,1.33159236491296,1.59609641029636,1.57500051733038,0.708967691950881,0.932471676496104,-0.945837914059224,-0.914739659495744,-1.18326921578482,0.881705518835534,-0.590703553321851,-1.40122404483958,-0.985256591575187,-1.40122404483958,-0.985256591575187,2.3255760371589,2.3120624422155,0.196255269181757,1.86064326098429,1.28772099616978,-0.107173944632824,-1.91925843196273,-1.71422042717999,1.65244326672249,1.43028459588996,1.35873244097351,-0.0593737881310571,0.198919651824399,1.35873244097351,0.255316035567648,1.35873244097351,0.0452966645630649,0.548043518213065,0.644523073320746,-0.0152572509037717
2017,1.00809791128225,1.93302349281479,0.41197587058619,0.911862282290037,0.477418140969972,0.411345641314698,0.428217442928042,0.21273677749716,0.0702041521154683,2.2895697374316,-0.950204681616056,0.988289743044032,1.15214382308911,-0.644702348136522,-0.418629506068194,-0.554000788321711,-0.418629506068194,-0.554000788321711,-0.394266067334668,0.0602062847326994,0.378676898165575,0.423712896055528,0.46481640915191,0.110070537731008,-1.60440648621599,0.0948465226845447,1.20676358133643,0.200989218494375,1.49460568507087,1.15401910422983,0.075432390202628,1.49460568507087,0.417631230315751,1.49460568507087,1.4338551318237,-0.822104113535532,-0.737474920331712,0.475154385288888
2018,0.340258554300043,0.375594658584791,-0.124818506509514,0.453588278050122,0.316193208863136,0.363727837616385,0.163394058333468,-0.346975168123813,-0.558118848797806,0.067028865058503,-0.137357047615297,0.750996055733142,-1.4774134307665,-0.774255819042452,-0.274873713418361,-0.732253186999815,-0.274873713418361,-0.732253186999815,-0.555563106621351,-0.786444594320886,-0.096379427313117,-0.416657931086925,-0.251541302962817,0.870426226004418,0.458201626413992,0.523648120704326,0.136011207734436,-1.48862766451178,1.63047892916822,-0.0240322475768565,-0.0420322501626817,1.63047892916822,0.416639710078653,1.63047892916822,0.180108166238855,-0.859724088793404,-0.88491399388685,-0.342198341698877
