"","xvar","yvar","corr"
"61","DDlarv","CSTlarv",-0.166087252288712
"62","DDlarv","CSTpjuv",-0.0108868389185818
"63","DDlarv","LSTlarv",0.404733685183073
"64","DDlarv","LSTpjuv",-0.0169952745562012
"65","DDlarv","HCIlarv",-0.946707637295322
"66","DDlarv","HCIpjuv",-0.569402018061545
"67","DDlarv","ONIpre",0.736929500241836
"68","DDlarv","ONIlarv",0.762048868034812
"69","DDlarv","ONIpjuv",0.285449599190005
"70","DDlarv","PDOlarv",0.904141867903986
"71","DDlarv","PDOpjuv",0.651590358572734
"72","DDlarv","CutiSTI",0.3899293095457
"73","DDlarv","CutiTUMI",-0.0574671066245579
"74","DDlarv","BeutiTUMI",-0.47069722845083
"75","DDlarv","BeutiSTI",0.30944665798199
"76","DDpjuv","DDpre",0.698460297293701
"77","DDpjuv","DDegg",0.413927078042995
"78","DDpjuv","DDlarv",0.747843602428964
"79","DDpjuv","DDpjuv",1
"80","DDpjuv","DDben",0.506743417483231
"81","DDpjuv","Tcop",0.599958693918008
"82","DDpjuv","Tpart",0.782547388964622
"83","DDpjuv","MLDpart",0.359432031844536
"84","DDpjuv","MLDlarv",0.224156493979958
"85","DDpjuv","MLDpjuv",-0.0959065351262056
"86","DDpjuv","CSTlarv",-0.356615500284154
"87","DDpjuv","CSTpjuv",-0.128216258794958
"88","DDpjuv","LSTlarv",0.3011577940077
"89","DDpjuv","LSTpjuv",0.309634437463236
"90","DDpjuv","HCIlarv",-0.773433602955148
"91","DDpjuv","HCIpjuv",-0.866314352969651
"92","DDpjuv","ONIpre",0.6050882644628
"93","DDpjuv","ONIlarv",0.64848862529573
"94","DDpjuv","ONIpjuv",0.475731204650285
"95","DDpjuv","PDOlarv",0.680807329570154
"96","DDpjuv","PDOpjuv",0.726409147040757
"97","DDpjuv","CutiSTI",0.4588190961951
"98","DDpjuv","CutiTUMI",-0.201134804602958
"99","DDpjuv","BeutiTUMI",-0.611001144012786
"100","DDpjuv","BeutiSTI",0.346438448419543
"101","DDben","DDpre",0.318784366319759
